question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
Which of the listed terms is described by: “All the chemical processes that take place in the organelles and cytoplasm the cells of the body”?,Metabolism,Cellular respiration,Homeostasis,Physiology,A,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"and, bodi, by, cell, chemical, in, in the, is, list, of, the, the bodi",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"and, bodi, by, cell, chemical, in, is, list, of, the"
Which major organ lies deep to the right hypochondriac region?,The stomach,The spleen,The liver,The duodenum,C,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.834,Chapter 10 - Lymphatic System,"major, organ, to",,,0.000,,
Which plane of the body divides it into dorsal and ventral regions?,Transverse,Axial,Coronal,Sagittal,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.973,Chapter 1 - Chemicals,"and, bodi, into, of, the, the bodi",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.987,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"and, bodi, of, the"
To which of the following does the “tissue level” of structural organisation refer?,"atoms, ions, molecules and electrolytes","mitochondria, ribosomes, nucleus, endoplasmic reticulum","nephron, alveolus, villus, lobule","muscle, nervous, connective, epithelial",D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.978,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, of the, the, to",,,0.000,,
The directional term “superior” in anatomy means which of the following?,cephalic,ventral,caudal,dorsal,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.949,Chapter 16 - Endocrine System,"in, of, of the, the",,,0.000,,
Which of the following is the best deﬁ nition of physiology?,The microscopic study of tissues and cells,The study of how the body works.,All the chemical processes that take place in the organelles of the body’s cells.,The body’s automatic tendency to maintain a relatively constant internal environment.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.961,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, of the, the",,,0.000,,
The “anatomical position” could be described as which of the following?,Lying down prone,Lying down supine,Standing displaying the ventral surface of the body,Standing with arms and legs abducted,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.961,Chapter 16 - Endocrine System,"of, of the, position, the",,,0.000,,
Which choice best describes the location of the majority of the musculo- skeletal system?,It is in the dorsal cavity,It is in the ventral cavity,It is in the abdomino-pelvic cavity,It is not located in a body cavity,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.993,Chapter 16 - Endocrine System,"of, of the, system, the",,,0.000,,
Which of the following is/are the contents of the ventral cavity?,heart and lungs,brain and spinal cord,viscera,"gut, kidneys, liver, pancreas, spleen, bladder, internal reproductive organs.",C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.988,Chapter 16 - Endocrine System,"of, of the, the",,,0.000,,
Which of the stated relationships is correct?,the heart is inferior to the clavicle,the shoulder is distal to the carpals,the phalanges are proximal to the metacarpals,the eye is medial to the eyebrows,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.937,Chapter 16 - Endocrine System,"of, of the, relationship, the",,,0.000,,
Which of the following is/are the contents of the dorsal body cavity?,heart and lungs,brain and spinal cord,viscera,"gut, kidneys, liver, pancreas, spleen, bladder, internal reproductive organs.",B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.987,Chapter 16 - Endocrine System,"of, of the, the",,,0.000,,
Which of the stated relationships is correct?,the heart is superior to the large intestine,the shoulder is distal to the metacarpals,the phalanges are proximal to the carpals,the eye is medial to the nose,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.937,Chapter 16 - Endocrine System,"of, of the, relationship, the",,,0.000,,
What is the study of how body parts function called?,histology,physiology,homeostasis,metabolism,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.976,Chapter 1 - Chemicals,"bodi, call, function, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),0.972,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"bodi, is, of, the"
Which of the following correctly describes the two named body parts?,the elbow is proximal to the shoulder,the phalanges are distal to the carpals,the ribs are proximal to the sternum,the elbow is distal to the knee,B,,,,,,,,,,,,,Chapter 2 - Classification,0.990,Chapter 2 - Classification; Chapter 1 - Chemicals,"correctli, name, of, part, the, two",chapter_2::2_6_the_classification_of_vertebrates_heads_up,2.6 The Classification of Vertebrates (Heads-up),0.995,chapter_2::2_6_the_classification_of_vertebrates_heads_up,"of, the"
Which one of the following statements is correct?,the diaphragm separates the brain and spinal cord,the ventral cavity contains the male and female reproductive system,the abdomino-pelvic cavity contains the spinal cord.,the dorsal cavity contains the brain and spinal cord,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.821,Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"of, of the, the",,,0.000,,
Complete the sentence correctly: “Cervical vertebrae are……,superior to the rib cage.,inferior to the thoracic vertebrae.,located between the thoracic and sacral vertebrae.,fused into a single bone called the sacrum.,A,,,,,,,,,,,,,Chapter 2 - Classification,0.863,Chapter 2 - Classification,"are, correctli, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.925,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"are, the"
The dorsal body cavity contains which of the following organs?,The brain.,The brain and spinal cord. 1 Organisation of the Body 5,"The brain, spinal cord and heart.","The brain, spinal cord, heart and kidneys.",B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.950,Chapter 1 - Chemicals,"bodi, contain, of, the",,,0.000,,
What does the process known as anabolism refer to?,the use of energy for producing chemical substances.,the breaking down phase of metabolism.,all the chemical process that take place in the organelles of the cells.,the supply of nutrients to the body’s cells.,A,,,,,,,,,,,,,Chapter 2 - Classification,0.653,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"the, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),0.916,chapter_2::2_5_the_animal_kingdom_heads_up,"the, to"
To what does the term “hypochondriac” refer?,A condition of having too few chondria.,The region of abdomen inferior to the ribs.,A person who often complains of an ailment.,Having insufﬁ cient cartilage in the knees.,B,,,,,,,,,,,,,Chapter 10 - Lymphatic System,0.725,Chapter 10 - Lymphatic System; Chapter 2 - Classification,"term, to",,,0.000,,
"If a medical image displays internal anatomy in mid-sagittal section, which of the following describes the section?",A vertical section through the nose and umbilicus that divides the body into right and left halves.,A cross-section through the midriff at about the level of the liver.,A cross-section through the upper chest at about the level of the shoulders.,A vertical section through the midpoint of the clavicle and through either the right or left thigh.,A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.933,Chapter 16 - Endocrine System; Chapter 1 - Chemicals; Chapter 2 - Classification,"in, of, of the, the",,,0.000,,
Which of the following best describes the “anatomical position”?,"Standing vertically, arms held horizontally, legs apart so that the tips of the head, hands and feet lie on an imaginary circle, drawn around the body.","Standing “to attention”, with hands held so that thumbs are ventral while the ﬁ fth digit is dorsal. 1 Organisation of the Body 6",Standing “at ease” with hands clasped behind your back while adjacent and dorsal to the sacrum.,"Standing vertically, arms parallel and lateral to the ribs with hands inferior to the elbows and supinated.",D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.965,Chapter 16 - Endocrine System,"of, of the, position, the",,,0.000,,
Which term describes the location of the adrenal glands with reference to the kidneys?,proximal,distal,superior,inferior,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.996,Chapter 16 - Endocrine System,"adrenal, gland, of, of the, the, to, with",,,0.000,,
Which of the following terms is NOT used to identify a region of the abdomen?,left hypochondriac,hypogastric,epigastric,right sacral,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.996,Chapter 1 - Chemicals; Chapter 2 - Classification,"a, is, of, the, to, us, us to",,,0.000,,
