question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
When taking a subject’s blood pressure you are actually measuring the differ - ence between total pressure and which other pressure?,gauge pressure,blood pressure,atmospheric pressure,standard atmospheric pressure,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.996,Chapter 16 - Endocrine System,"-, and, are, between, blood, blood pressure, other, pressure, the",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.995,chapter_16::16_x_hormone_highlights; chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"-, and, blood, blood pressure, other, pressure"
Which structure produces the hormones ADH and oxytocin?,the posterior pituitary,the anterior pituitary,the thalamus,the hypothalamus,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.985,Chapter 16 - Endocrine System,"REGEX:\b(ad[ht]|acth|gh|fsh|lh|tsh)\b, REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, adh, and, hormone, oxytocin, the",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.994,chapter_16::16_x_hormone_highlights,"REGEX:\b(ad[ht]|acth|gh|fsh|lh|tsh)\b, REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, adh, and, hormone, oxytocin"
Which endocrine organ produces “releasing hormones” and “inhibitory hormones”?,thyroid,anterior pituitary,hypothalamus,thalamus,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.884,Chapter 16 - Endocrine System,"and, endocrine, hormone",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.980,chapter_16::16_x_hormone_highlights,"and, endocrine, hormone"
"When systemic blood pressure increases, how does the kidney respond to maintain glomerular ﬁ ltration rate?",The afferent arteriole dilates,The efferent arteriole constricts,The efferent arteriole dilates,The afferent arteriole constricts,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.982,Chapter 16 - Endocrine System,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, blood, blood pressure, maintain, pressure, rate, the, to",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.978,chapter_16::16_x_hormone_highlights,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, blood, blood pressure, maintain, pressure, rate"
Which structure produces ADH and oxytocin?,the thalamus,the anterior pituitary,the hypothalamus,the posterior pituitary,C,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.947,Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System,"REGEX:\b(ad[ht]|acth|gh|fsh|lh|tsh)\b, REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, adh, and, oxytocin",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.977,chapter_16::16_x_hormone_highlights,"REGEX:\b(ad[ht]|acth|gh|fsh|lh|tsh)\b, REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, adh, and, oxytocin"
From where are antidiuretic hormone and oxytocin released?,the anterior pituitary,the posterior pituitary,the adrenal cortex,the adrenal medulla,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.979,Chapter 16 - Endocrine System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, and, are, from, hormone, oxytocin",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.969,chapter_16::16_x_hormone_highlights; chapter_1::1_8_fats_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, and, hormone, oxytocin"
What hormone(s) does the adrenal medulla produce?,aldosterone,epinephrine and norepinephrine,corticosteroids,glucocorticoids,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.920,Chapter 16 - Endocrine System,"adrenal, adrenal medulla, hormone, medulla, the",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.962,chapter_16::16_x_hormone_highlights,"adrenal, adrenal medulla, hormone, medulla"
Which hormone produces a decrease in arterial blood pressure?,vasopressin,ANP,ADH,angiotensin II,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.916,Chapter 16 - Endocrine System,"blood, blood pressure, hormone, in, pressure",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.959,chapter_16::16_x_hormone_highlights,"blood, blood pressure, hormone, pressure"
Which three hormones have a role in regulating blood pressure?,"angiotensin II, ADH and ANP","renin, angiotensin II and ADH","vasopressin, ADH and ANP","angiotensin II, ACE and ADH 12 Cardiovascular System 311",A,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.956,Chapter 16 - Endocrine System,"blood, blood pressure, hormone, in, pressure, role",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.956,chapter_16::16_x_hormone_highlights; chapter_9::9_x_control_of_breathing_heads_up,"blood, blood pressure, hormone, pressure"
The hypothalamus produces “releasing hormones”. What do these releasing hormones do?,They direct the posterior pituitary to release hormones.,They direct the anterior pituitary to release hormones.,They direct the gonads to release hormones.,They act as “second messengers” when hormones bind to their receptor site.,B,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.953,Chapter 16 - Endocrine System,"., hormone, hypothalamu, the, the hypothalamu",chapter_16::16_x_hormone_highlights,16.x Hormone Highlights,0.954,chapter_16::16_x_hormone_highlights; chapter_16::16_4_pituitary_gland_hypothalamus_heads_up,"., hormone"
