question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
Which of the listed terms is described by: “All the chemical processes that take place in the organelles and cytoplasm the cells of the body”?,Metabolism,Cellular respiration,Homeostasis,Physiology,A,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"and, bodi, by, cell, chemical, in, in the, is, list, of, the, the bodi",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"and, bodi, by, cell, chemical, in, is, list, of, the"
In which part of a cell does the process of making ATP from oxygen and glu- cose take place?,lysosomes,ribosomes,mitochondria,golgi apparatus,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"a, and, cell, from, in, make, of, oxygen, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up,"a, and, cell, in, of, oxygen, the"
What is the name of the mechanism that ensures that there is a higher concen- tration of sodium ions in the extracellular ﬂ uid than in the intracellular ﬂ uid?,Facilitated diffusion,The sodium-potassium pump,Secondary active transport,Osmosis,B,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"a, in, in the, ion, is, name, name of, of, sodium, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, in, is, of, sodium, the"
Cell membranes can maintain a difference in electrical charge between the inte- rior of the cell and the extracellular ﬂ uid. What is this charge difference called?,excitability,the membrane potential,the action potential,the sodium-potassium pump,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals,"a, and, call, cell, charge, in, is, of, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up,"a, and, cell, in, is, of, the"
What is the name of the mechanism that ensures that there is a higher concen- tration of sodium ions in the extracellular ﬂ uid than in the intracellular ﬂ uid?,Facilitated diffusion,The sodium-potassium pump,Secondary active transport,Osmosis,B,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"a, in, in the, ion, is, name, name of, of, sodium, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, in, is, of, sodium, the"
"In a strand of DNA, what is the combination of deoxyribose and phosphate and base known as?",A ribosome,A chromatid 2.2 Cell Cycle (Mitosis and Protein Synthesis) 30,A codon,A nucleotide,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals; Chapter 2 - Classification,"a, and, base, in, is, of, phosphate, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"a, and, in, is, of, the"
"The combination of a sugar, a base and at least one phosphate group is given the general term of:",nucleoside,amino acid,polypeptide,nucleotide,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"a, and, at, base, is, of, phosphate, sugar, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up,"a, and, is, of, the"
"In the ribosome of a cell, the mRNA is read to produce the particular amino acid sequence for the formation of a protein. What is this process called?",Translation,Transcription,Transportation,Transmutation,A,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"a, acid, amino, amino acid, call, cell, for, in, in the, is, of, the, to",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, cell, for, in, is, of, the"
The combination of a sugar and a base is given the general term of:,nucleoside,amino acid,polypeptide,nucleotide,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.998,Chapter 1 - Chemicals; Chapter 2 - Classification,"a, and, base, is, of, sugar, the",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up,"a, and, is, of, the"
In the nucleus of the cell DNA is used as a template to form mRNA. What is the process called?,Translation,Transcription,Transportation,Transmutation,B,,,,,,,,,,,,,Chapter 1 - Chemicals,1.000,Chapter 1 - Chemicals,"a, call, cell, form, in, in the, is, of, the, to, to form, us",chapter_1::1_2_elements_and_atoms_heads_up,1.2 Elements and Atoms (Heads-up),1.000,chapter_1::1_2_elements_and_atoms_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"a, cell, in, is, of, the"
