question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
"What do we call a substance that when added to water, reacts with water to produce hydronium ions?",an ionic compound,a base,an electrolyte,an acid,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.998,Chapter 1 - Chemicals,"a, call, ion, substance, to, water, water to, when, with",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.999,chapter_1::1_5_ionization_heads_up,"call, ion, substance, to, water, water to"
"If a solution is shown to be able to conduct electricity, then what is true?",A: the solution is free of impurities,B: the solution contains a dissolved electrolyte,C: the solution contains dissolved molecules,D: the solution is an aqueous solution,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.997,Chapter 1 - Chemicals,"a, conduct, conduct electriciti, electriciti, is, shown, solution, to",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.992,chapter_1::1_5_ionization_heads_up,"conduct, conduct electriciti, electriciti, solution, to"
Some capillaries are called “sinusoids”. These are capillaries that:,are fenestrated.,have endothelium without gaps between cells.,have endothelium with gaps between adjacent cells.,have pores in the endothlial cell walls.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.950,Chapter 1 - Chemicals,"., are, call, some",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.990,chapter_1::1_5_ionization_heads_up,"., are, call, some"
What can be said about a solution that conducts electricity?,the solute is a polar molecule,the solvent is a non-polar liquid,the solution contains dissolved ions,the solution contains dissolved molecules,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.929,Chapter 1 - Chemicals,"a, conduct, conduct electriciti, electriciti, solution",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.954,chapter_1::1_5_ionization_heads_up,"conduct, conduct electriciti, electriciti, solution"
What are bone forming cells called?,osteons,osteocytes,osteoclasts,osteoblasts,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.914,Chapter 1 - Chemicals,"are, call, cell, form",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.939,chapter_1::1_5_ionization_heads_up,"are, call, form"
Which structures are called bronchioles?,respiratory passageways that have cartilage in their walls,the tubes that open from the left and right primary bronchi.,the tubes that enter a lobule,the tubes that enter an alveolar sac.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.914,Chapter 1 - Chemicals,"REGEX:\b(alveol\w+|bronch\w+|diaphragm|haemoglobin|hemoglobin)\b, are, call, structure",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.914,chapter_1::1_5_ionization_heads_up,"REGEX:\b(alveol\w+|bronch\w+|diaphragm|haemoglobin|hemoglobin)\b, are, call"
If an ion has a positive charge then what do we know about it? That it,will attract another ion with a positive charge.,has gained some protons. 18 Electricity 468,has lost some electrons.,has more electrons than protons.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.874,Chapter 1 - Chemicals,"a, charge, ion, positive",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.900,chapter_1::1_5_ionization_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up,"charge, ion, positive"
What does “Rhesus positive” refer to?,The presence of antigen D on the surface of red blood cells,The final factor involved in blood clotting,The presence of the rhesus antibody/agglutinin in the blood,A deficiency of Factor VIII that results in haemophilia,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.660,Chapter 1 - Chemicals,"positive, to",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.819,chapter_1::1_5_ionization_heads_up,"positive, to"
Why does drinking acidic solutions such as orange juice NOT make the blood acidic?,Blood is alkaline and alkaline solutions react with ingested acids to neutral- ise them.,The volume of water in the body is great enough that the effect of ingested acidic food and drink on pH is negligible.,The blood has buffers whose components are able to resist changes to blood pH.,The kidney is able to rapidly filter acidic components from blood to avoid pH changes.,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.882,Chapter 1 - Chemicals,"make, solution, such, the",chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.764,chapter_1::1_5_ionization_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"solution, such"
Carpals refers to,the points of attachment of ribs to vertebrae,bones of the wrist,bones that are embedded within a tendon,the thumbs,B,,,,,,,,,,,,,Chapter 1 - Chemicals,0.404,Chapter 1 - Chemicals; Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 10 - Lymphatic System; Chapter 9 - Respiratory System,to,chapter_1::1_5_ionization_heads_up,1.5 Ionization (Heads-up),0.554,chapter_1::1_5_ionization_heads_up; chapter_1::1_7_carbohydrates_heads_up; chapter_1::1_9_proteins_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_16::16_3_endocrine_glands_hormones_heads_up; chapter_10::10_2_1_lymphatic_vessels_heads_up; chapter_9::9_x_x_mechanics_of_inspiration,to
