question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
"In red blood cells, carbonic anhydrase catalyses the formation of carbonic acid which then disassociates into bicarbonate ions and hydrogen ions. What hap-pens next?",bicarbonate ions bind to haemoglobin,hydrogen ions move into the plasma to be buffered by bicarbonate ions,hydrogen ions are buffered by haemoglobin,chloride ions enter the rbc to form hydrochloric acid (HCl),C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.999,Chapter 1 - Chemicals,"acid, and, carbonic, carbonic acid, cell, hydrogen, in, into, ion, ion and, of, the",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.991,chapter_1::1_8_fats_heads_up; chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"acid, and, cell, hydrogen, in, of"
What are tendons and ligaments composed of?,Dense connective tissue,Liquid connective tissue,Muscular tissue,Epithelial tissue,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.941,Chapter 1 - Chemicals,"and, are, compos, compos of, of",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.988,chapter_1::1_8_fats_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"and, are, compos, compos of, of"
What are red blood cells primarily composed of?,alpha- and beta- globulins,albumin,mitochondria,haemoglobin,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.933,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"are, cell, compos, compos of, of",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.986,chapter_1::1_8_fats_heads_up,"are, cell, compos, compos of, of"
To what type of fatty acids is the term “saturated” applied?,Those with four single bonds around each carbon atom.,Those with at least one double bond between carbon atoms.,Those that are not implicated in coronary heart disease.,Those which are essential in our diet.,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.991,Chapter 1 - Chemicals,"acid, fatti, fatti acid, is, of, saturate, the, to",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.982,chapter_1::1_8_fats_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_9::9_x_control_of_breathing_heads_up,"acid, fatti, fatti acid, of, saturate"
What pancreatic enzyme digests lipids to free fatty acids and monoglycerides?,lipase,bile,cholecystokinin,lingual lipase 9 Gastro-Intestinal System 181,A,,,,,,,,,,,,,Chapter 1 - Chemicals,0.979,Chapter 1 - Chemicals,"acid, and, enzyme, fatti, fatti acid, lipid, to",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.982,chapter_1::1_8_fats_heads_up; chapter_1::1_9_proteins_heads_up,"acid, and, fatti, fatti acid, lipid"
Fatty acids are absorbed from the gut into structures known as:,triglycerides,sinusoids,capillaries,lacteals,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.993,Chapter 1 - Chemicals,"acid, are, fatti, fatti acid, from, into, structure, the",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.982,chapter_1::1_8_fats_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"acid, are, fatti, fatti acid, from"
What feature distinguishes pacemaker cardiac cells from other myocardial cells? Pacemaker cells:,"require a stimulus from the vagus nerve in order to reach threshold, myocar - dial cells do not.",reach threshold with much weaker stimuli than myocardial cells.,"have gap junctions, while myocardial cells do not.","spontaneously generate action potentials, while myocardial cells do not.",D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.868,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"cell, from",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.969,chapter_1::1_8_fats_heads_up; chapter_1::1_9_proteins_heads_up; chapter_10::10_2_lymphatic_system_heads_up,"cell, from"
What feature distinguishes pacemaker cardiac cells from other cardiac cells? Pacemaker cardiac cells:,require a stimulus from the vagus nerve in order to reach threshold, other cardiac cells do not.,reach threshold with much weaker stimuli than other cardiac cells12.2 Heart 260,"have gap junctions, while other cardiac cells do not","do not require an external stimulus to reach threshold, while other cardiac cells do.",,,,,,,,,,,,,Chapter 1 - Chemicals,0.864,Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"cell, from",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.967,chapter_1::1_8_fats_heads_up; chapter_1::1_9_proteins_heads_up; chapter_10::10_2_lymphatic_system_heads_up,"cell, from"
What is a “saturated fat”?,one that contains cholesterol,a triglyceride that has three fatty acids,one where the carbon atoms that are connected by single bonds 4 Chemistry for Physiology 99,one that must be included in our diet,C,,,,,,,,,,,,,Chapter 1 - Chemicals,0.946,Chapter 1 - Chemicals,"a, fat, is, saturate, saturate fat",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.901,chapter_1::1_8_fats_heads_up,"fat, saturate, saturate fat"
Under what conditions will the kidney produce concentrated urine? If:,glomerular ﬁ ltration rate is low.,glomerular ﬁ ltration rate is high. 11 Renal System 234,atrial natriuretic peptide and aldosterone are present in blood.,antidiuretic hormone and aldosterone are present in the blood.,D,,,,,,,,,,,,,Chapter 1 - Chemicals,0.801,Chapter 1 - Chemicals,"concentrate, the, under",chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.789,chapter_1::1_8_fats_heads_up; chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"concentrate, under"
Compact bone differs from spongy (cancellous) bone because compact bone:,does not contain osteons,is used to form short bones,contains marrow,has Haversian canals,D,,,,,,,,,,,,,Chapter 16 - Endocrine System,0.463,Chapter 16 - Endocrine System,from,chapter_1::1_8_fats_heads_up,1.8 Fats (Heads-up),0.489,chapter_1::1_8_fats_heads_up; chapter_1::1_9_proteins_heads_up; chapter_10::10_2_lymphatic_system_heads_up; chapter_10::10_2_1_lymphatic_vessels_heads_up,from
