question,optionA,optionB,optionC,optionD,answer,,,,,,,,,,,,,topic_chapter,topic_confidence,all_topics,matched_keywords,topic_section_id,topic_section_title,topic_section_confidence,all_sections,matched_section_keywords
Why does the plasma membrane of a cell present a barrier to the movement of electrolytes through it?,There are no channels in the membrane for the passage of electrolytes.,Electrolytes are not soluble in the lipid of the membrane.,Electrolytes are too large to pass through membrane channels.,Membrane proteins electrically repel charged particles.,B,,,,,,,,,,,,,Chapter 2 - Classification,0.995,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 10 - Lymphatic System,"a, it, of, of a, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"a, it, of, the, to"
You have a bottle of a strong acid and you add 100 ml of this to one litre of water. What would the pH of this final solution most likely be?,pH = 1,pH = 5,pH = 7,pH = 11,A,,,,,,,,,,,,,Chapter 2 - Classification,0.999,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, and, be, most, of, of a, the, thi, to",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up; chapter_1::1_2_elements_and_atoms_heads_up; chapter_9::9_x_control_of_breathing_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"a, and, most, of, the, to"
A molecule of an organic compound can be thought of as having two portions: a radical with an attached functional group. What is the correct definition of a functional group?,it consists of carbon atoms and hydrogen atoms,it is responsible for most of the properties of the molecule.4.6 Organic Chemistry and Macromolecules 100,it has a modest influence on the properties of the molecule.,it consists of a ring of carbon atoms.,B,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 1 - Chemicals,"a, be, can, can be, definition, definition of, definition of a, of, of a, organic, the, two, with",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_4_classification_of_living_organisms_heads_up,"a, of, organic, the, with"
"In homeostasis, what is it that produces the response that moves the physiologi- cal variable back towards the middle of its healthy range?",the effector,the receptor,the integrating centre,the efferent pathway,A,,,,,,,,,,,,,Chapter 2 - Classification,0.988,Chapter 2 - Classification,"in, it, move, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"it, move, of, the"
"During the delivery of a baby the baby’s head is pushing against the cervix causing the cervix wall to stretch. This stretching causes nerve impulses to be sent to the hypothalamus which directs the posterior pituitary to release oxyto-cin in the blood. Oxytocin stimulates the uterus to contract which pushes the baby’s head deeper into the cervix, stretching it further. This situation is a description of which of the following?",negative feedback,positive feedback,homeostasis,an afferent pathway to an integrating centre,B,,,,,,,,,,,,,Chapter 2 - Classification,1.000,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, a, be, in, into, it, of, of a, the, thi, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"REGEX:\b(t3|t4|thyroxine|insulin|glucagon|aldosterone|oxytocin|adh)\b, a, it, of, the, to"
"What is the collective term applied to the proximal and distal convoluted tubules, the loop of Henle (i.e. the nephron loop) and the glomerular capsule?",The renal corpuscle,The renal tubule,The nephron,The renal capsule,B,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, and, of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, and, of, the, to"
"In the nephron, if the afferent arteriole dilates and the efferent arteriole con- stricts, which of the following would be true?",The glomerular ﬁ ltration rate would decrease.,The pressure in the glomerulus will decrease.,The absorption of sodium and chloride ions form the ﬁ ltrate would increase.,"Before these events, the granular cells would have released renin.",D,,,,,,,,,,,,,Chapter 2 - Classification,0.994,Chapter 2 - Classification; Chapter 16 - Endocrine System; Chapter 1 - Chemicals,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, and, be, in, of, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, and, of, the"
What name is given to the blood vessel that connects the capillaries of the glomerulus to the vasa recta?,macula densa,afferent arteriole,efferent arteriole,afferent vein,C,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, name, of, the, to, to the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"REGEX:\b(glomerul\w+|tubul\w+|nephron)\b, of, the, to"
The term “formed elements” used in relation to the blood include which of the following?,fibrinogen.,white blood cells.,electrolytes.,plasma proteins.,B,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification; Chapter 1 - Chemicals,"in, include, of, the, to, to the, us, us in",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up,"include, of, the, to"
"Starting at the APEX of the heart and moving superiorly, what is the correct order in which you would encounter the four anatomical structures below?","valves, chordae tendonae, papillary muscle, ventricle","ventricle, papillary muscle, chordae tendonae, valves","papillary muscle, chordae tendonae, ventricle, valves","chordae tendonae, valves, ventricle, papillary muscle",B,,,,,,,,,,,,,Chapter 2 - Classification,0.998,Chapter 2 - Classification; Chapter 1 - Chemicals; Chapter 16 - Endocrine System,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, and, at, in, move, of, order, the",chapter_2::2_5_the_animal_kingdom_heads_up,2.5 The Animal Kingdom (Heads-up),1.000,chapter_2::2_5_the_animal_kingdom_heads_up; chapter_2::2_6_the_classification_of_vertebrates_heads_up; chapter_1::1_2_elements_and_atoms_heads_up,"REGEX:\b(binomial|genus|species|kingdom|phylum|order|family|taxonomy|vertebrate|invertebrate)\b, and, move, of, the"
