question,optionA,optionB,optionC,optionD,answer
Which of the listed terms is described by: “All the chemical processes that take place in the organelles and cytoplasm the cells of the body”?,Metabolism,Cellular respiration,Homeostasis,Physiology,A
Which major organ lies deep to the right hypochondriac region?,The stomach,The spleen,The liver,The duodenum,C
Which plane of the body divides it into dorsal and ventral regions?,Transverse,Axial,Coronal,Sagittal,C
The directional term “superior” in anatomy means which of the following?,cephalic,ventral,caudal,dorsal,A
The “anatomical position” could be described as which of the following?,Lying down prone,Lying down supine,Standing displaying the ventral surface of the body,Standing with arms and legs abducted,C
Which choice best describes the location of the majority of the musculo- skeletal system?,It is in the dorsal cavity,It is in the ventral cavity,It is in the abdomino-pelvic cavity,It is not located in a body cavity,D
Which of the following is/are the contents of the ventral cavity?,heart and lungs,brain and spinal cord,viscera,"gut, kidneys, liver, pancreas, spleen, bladder, internal reproductive organs.",C
Which of the stated relationships is correct?,the heart is inferior to the clavicle,the shoulder is distal to the carpals,the phalanges are proximal to the metacarpals,the eye is medial to the eyebrows,A
Which of the following is/are the contents of the dorsal body cavity?,heart and lungs,brain and spinal cord,viscera,"gut, kidneys, liver, pancreas, spleen, bladder, internal reproductive organs.",B
Which of the stated relationships is correct?,the heart is superior to the large intestine,the shoulder is distal to the metacarpals,the phalanges are proximal to the carpals,the eye is medial to the nose,A
What is the study of how body parts function called?,histology,physiology,homeostasis,metabolism,B
Which of the following correctly describes the two named body parts?,the elbow is proximal to the shoulder,the phalanges are distal to the carpals,the ribs are proximal to the sternum,the elbow is distal to the knee,B
Which one of the following statements is correct?,the diaphragm separates the brain and spinal cord,the ventral cavity contains the male and female reproductive system,the abdomino-pelvic cavity contains the spinal cord.,the dorsal cavity contains the brain and spinal cord,D
Complete the sentence correctly: “Cervical vertebrae are……,superior to the rib cage.,inferior to the thoracic vertebrae.,located between the thoracic and sacral vertebrae.,fused into a single bone called the sacrum.,A
The dorsal body cavity contains which of the following organs?,The brain.,The brain and spinal cord. 1 Organisation of the Body 5,"The brain, spinal cord and heart.","The brain, spinal cord, heart and kidneys.",B
What does the process known as anabolism refer to?,the use of energy for producing chemical substances.,the breaking down phase of metabolism.,all the chemical process that take place in the organelles of the cells.,the supply of nutrients to the body’s cells.,A
To what does the term “hypochondriac” refer?,A condition of having too few chondria.,The region of abdomen inferior to the ribs.,A person who often complains of an ailment.,Having insufﬁ cient cartilage in the knees.,B
"If a medical image displays internal anatomy in mid-sagittal section, which of the following describes the section?",A vertical section through the nose and umbilicus that divides the body into right and left halves.,A cross-section through the midriff at about the level of the liver.,A cross-section through the upper chest at about the level of the shoulders.,A vertical section through the midpoint of the clavicle and through either the right or left thigh.,A
Which of the following best describes the “anatomical position”?,"Standing vertically, arms held horizontally, legs apart so that the tips of the head, hands and feet lie on an imaginary circle, drawn around the body.","Standing “to attention”, with hands held so that thumbs are ventral while the ﬁ fth digit is dorsal. 1 Organisation of the Body 6",Standing “at ease” with hands clasped behind your back while adjacent and dorsal to the sacrum.,"Standing vertically, arms parallel and lateral to the ribs with hands inferior to the elbows and supinated.",D
Which term describes the location of the adrenal glands with reference to the kidneys?,proximal,distal,superior,inferior,C
Which of the following terms is NOT used to identify a region of the abdomen?,left hypochondriac,hypogastric,epigastric,right sacral,D
What structure separates the thoracic cavity from the abdominal cavity?,The mediastinum,The diaphragm,The peritoneum,The pylorus,B
What is the major function of lysosomes? They:,package proteins,detoxify toxic substances,catalyse lipid metabolism,digest unwanted particles within the cell,D
What results from the events that occur during metaphase of mitosis?,The nuclear membranes form around two nuclei.,The chromosomes are aligned on a plane in the centre of the cell.,The chromosomes become visible and attach to the spindle ﬁ bres.,The chromatids from each chromosome separate and move to opposite sides of the cell.,B
"During dialysis, what moves across a semi-permeable membrane (and how)?",Water molecules by diffusion from the region of high solute concentration to the region of low solute concentration.,Water molecules by filtration from the region of high hydrostatic pressure to the region of low hydrostatic pressure.,Solutes by diffusion from the region of high solute concentration to the region of low solute concentration.,Solutes by filtration from the region of low hydrostatic pressure to the region of high hydrostatic pressure.4.3 Diffusion and Osmosis 64,C
A suitable definition of osmosis would be movement:,of solute particles through a plasma membrane from the side where their concentration is greatest to the side where it is lower.,of water molecules through a plasma membrane from the side where their concentration is greatest to the side where it is lower.,of a substance from a region where it is in high concentration to where its concentration is lower,caused by a hydrostatic pressure difference.,B
Osmosis involves the movement of:,water molecules through a membrane from a region of higher concentration of water molecules to a region of lower water molecule concentration.,solute particles from a region of higher solution concentration to a region of lower solution concentration.,water molecules from a region of lower concentration of water to a region of higher water molecule concentration.,solute particles through a membrane from a region of lower solute concen-tration to a region of higher solute concentration.,A
Choose one answer below that completes the sentence so that it makes a true statement: Positive feedback:,is the way the body maintains homeostasis,is a response that opposes a stimulus,is a response that maintains a dynamic state of equilibrium,is a response that enhances a stimulus,D
The human body’s ability to maintain a relatively constant internal temperature is an example of what?,Respiratory heat loss,Homeostasis,Vasodilation and evaporative heat loss,Positive feedback,B
"In homeostasis, what is it that produces the response that moves the physiologi- cal variable back towards the middle of its healthy range?",the effector,the receptor,the integrating centre,the efferent pathway,A
"The “afferent pathway” in the description of a feedback loop in homeostasis, refers to the:",circulating blood.,pathway from the integrating centre to the effector.,outgoing signal.,path taken by the signal produced by a stimulus.,D
Homeostasis usually returns the body to a healthy state after stressful stimuli by,negative feedback,positive feedback,means of the immune system,means of the nervous system,A
What does the word “homeostasis” refer to?,the steps leading to repair of a blood vessel and the coagulation of blood,the maintenance of internal body conditions within narrow limits,the controlled response that opposes the inﬂ uence that caused it.,the production of blood cells in active bone marrow,B
How does homeostasis return the body to a healthy state after stressful stimuli? By producing a,responses that oppose the stress,learned behaviour,reﬂ ex action,buffering mechanism,A
What causes the body to maintain a relatively constant internal environment?,positive feedback,homeostasis,reﬂ exes,pH buffers,B
Homeostasis relies on feedback to achieve its aims. “Negative” feedback refers to which situation below? The body’s response:,travels from the effector to the integrating centre via the afferent pathway.,opposes the stressful stimulus.,is to decrease the set point.,enhances the stressful stimulus.,B
The term “homeostasis” is described by which one of the following statements? “The body’s ability to:,respond to a stimulus or stress in such a way as to enhance the stress.,maintain a relatively constant internal temperature.,respond to a stimulus or stress in such a way as to reduce the stress.,maintain a relatively constant internal environment.,D
Which of the following is a correct deﬁ nition of “positive feedback”?,The process by which the body maintains homeostasis.,"A mechanism in which the body’s response to a stimulus, opposes the stimulus.",A mechanism whereby the body responds to a stimulus by acting to enhance the stimulus.,The dynamic equilibrium maintained by an integrating centre which causes an effector to respond to the stimulus received by the receptor.,C
Which of the following is a correct deﬁ nition of “negative feedback”?,The process by which the body maintains homeostasis.,A mechanism in which the body’s response opposes the stimulus. 6 Homeostasis 123,A mechanism whereby the body responds to a stimulus by acting to enhance the stimulus.,The dynamic equilibrium maintained by an integrating centre which causes an effector to respond to the stimulus received by the receptor.,B
Homeostasis refers to maintaining :,a constant internal body environment through negative feedback.,body conditions relatively constant within a narrow range through negative and positive feedback.,adequate concentrations of respiratory gases.,blood glucose level within the healthy range.,B
What does the term “homeostasis” refer to?,the chemical processes that take place in the organelles of the cells.,the body’s tendency to maintain a relatively constant internal environment.,the body’s use of energy to produce chemical substances and parts for growth.,any body response that opposes the stimulus that initiated the response.,B
The body returns to a healthy state after stressful stimuli thanks to which of the following?,positive feedback,metabolism,anabolism,negative feedback,D
"During the delivery of a baby the baby’s head is pushing against the cervix causing the cervix wall to stretch. This stretching causes nerve impulses to be sent to the hypothalamus which directs the posterior pituitary to release oxyto-cin in the blood. Oxytocin stimulates the uterus to contract which pushes the baby’s head deeper into the cervix, stretching it further. This situation is a description of which of the following?",negative feedback,positive feedback,homeostasis,an afferent pathway to an integrating centre,B
Which of the following statements about positive feedback and homeostasis is correct?,They are regulation mechanisms that control most ﬂ uctuations in the inter- nal environment of the body.,The response to the stimulus serves to exaggerate the feedback effect.,This type of feedback response only involves an effector not a speciﬁ c stim- ulus receptor site.,This feedback mechanism involves adjustments at the organ level but not at the cellular level.,B
Which bone is most superior?,manubrium,occipital bone,cervical vertebra #3,patella,B
Which of the following describes the movements known as pronation and supination?,The ﬂ exing of the arm with respect to the forearm around the elbow.,The swivelling of the foot to the medial and lateral directions.,The twisting of the wrist while the elbow is held motionless.,The rotation at the shoulder that causes the arm to describe a cone shape.,C
Which of the following is NOT a depression or cavity on a bone?,tuberosity,facet,meatus,sinus,A
Where in the skeleton is the scapula located?,in the axial skeleton,in the appendicular skeleton,in the carpal region,in the shoulder girdle,D
Which of the following bone markings forms part of an articulation?,the deltoid tuberosity of the humerus,the lateral condyle of the femur,the greater trochanter of the femur,the greater tubercule of the humerus,B
Which of the listed bones is superior to the rest?,manubrium,xiphoid process,coccyx,femur,A
Which of the listed bones is the most inferior?,ethmoid,sphenoid,femoid,hyoid,D
Which of the following is an example of a synovial joint? The joint between the:,tibia and ﬁ bula,sternum and rib number 1,thoracic vertebrae 4 and 5,proximal ends of the radius and ulna,D
How do synovial joints differ from the other types of bone articulation?,they have a joint cavity.,the bones are joined by ﬁ brous tissue.,the articulating bones are joined by cartilage.,the articulating bone surfaces are covered by tendons.,A
Blood cell formation (haemopoiesis) occurs in which of the following structures?,red marrow,yellow marrow,medullary cavity,epiphyseal plate,A
Hypochondriac refers to which of the following?,someone who complains chronically of ill health,the abdominal region inferior to your ribs,an abnormally low level of chondria in the body,that part of your head surrounding your chin.,B
What is the metaphysis?,the shaft of a long bone.,the region that separates the narrow shaft of a long bone from its end.,the end of a long bone.,the canal inside a long bone that contains marrow.,B
Which statement correctly deﬁ nes an osteon?,the arrangement of trabeculae and osteocytes that make up spongy bone.,the membrane that lines the medullary cavity.,concentric cylinders of calciﬁ ed bone matrix.,the distal or proximal end of a long bone.,C
"Which of the following gut structures are listed in the correct order that food would pass through them, from input to exit?","pyloric sphincter, ileum, jejunum, transverse colon.","pancreas, jejunum, ascending colon, sigmoid colon.","ileum, duodenum, descending colon, ascending colon.","duodenum, ileum, caecum, transverse colon.",D
One of these processes is NOT part of carbohydrate metabolism in the liver. Which one?,Production of ATP from glucose,Production of glucose from glycogen,Production of glucose from amino acids,Production of glycogen from glucose,A
Which sections of the gut perform the majority of the digestion of food and absorption of the digested products?,stomach and duodenum,jejunum and ileum,ascending colon and transverse colon,duodenum and jejunum,D
Which of the following presents the structures through which chyme travels in the correct sequence?,"oesophagus, ileum, duodenum, ileo-cecal valve, transverse colon, rectum","stomach, duodenum, ileum, transverse colon, ileo-cecal valve, rectum 9 Gastro-Intestinal System 176","stomach, duodenum, transverse colon, ileum, rectum, ileo-cecal valve,","ileo-cecal valve, stomach, duodenum, transverse colon, ileum, rectum",B
Which list of sections of the intestine has them in correct order from nearest to furthest from the mouth?,"duodenum caecum, jejunum, ileum","caecum, sigmoid colon, transverse colon, rectum","duodenum, ileum, rectum, jejunum,","jejunum, ileum, caecum, ascending colon",D
What is the process that splits carbohydrates in the gut into smaller molecules called?,catalysis,hydrolysis,catabolism,glycogenolysis,B
Choose the list which has the selected structures of the alimentary canal in the same order that chyme would pass through them.,"larynx, jejunum, ileum, descending colon, transverse colon, sigmoid colon.","mouth, pharynx, oesophagus, large intestine, small intestine, anus. 9 Gastro-Intestinal System 180","oesophagus, stomach, duodenum, ascending colon, sigmoid colon, rectum.","stomach, duodenum, ileum, descending colon, transverse colon, ascend- ing colon.",C
"In the digestion of food molecules, the process known as “hydrolysis” involves an enzyme and what else?",splitting a molecule into two smaller molecules using a water molecule.,splitting a molecule into two smaller molecules using hydrogen.,the metabolism of glucose to produce water and energy.,splitting of triglycerols into molecules that are soluble in water.,A
Where in the body is the hypothalamus located?,On the inferior surface of the brain,In the cortex of the adrenal gland,In the anterior pituitary gland,On the dorsal surface of the thyroid gland,A
Complete the following sentence correctly: The hypothalamus:,Is the major link between the nervous and the endocrine systems.,Is situated in the brain superior to the thalamus.,Produces a hormone that stimulates the thyroid gland.,Does not produce anti-diuretic hormone (ADH).,A
