question,optionA,optionB,optionC,optionD,answer
Which one of the following statements best describes DNA?,"single stranded, deoxyribonucleic acid","single stranded, ribonucleic acid","double stranded, deoxyribonucleic acid","double stranded, ribonucleic acid",C
"The combination of a sugar, a base and at least one phosphate group is given the general term of:",nucleoside,amino acid,polypeptide,nucleotide,D
Which of the following is the correct combination of the components for the nucleic acid DNA?,"Phosphate, Ribose, Uracil","Phosphate, Deoxyribose, Proline","Phosphate, Ribose, Thymine","Phosphate, Deoxyribose, Adenine",D
Which of the base pairings in DNA would be correct?,A–T pair,A–G pair,C–T pair,C–A pair,A
The combination of a sugar and a base is given the general term of:,nucleoside,amino acid,polypeptide,nucleotide,A
Which of the following is the correct combination of the components for the nucleic acid RNA?,"Phosphate, Ribose, Uracil","Phosphate, Deoxyribose, Proline","Phosphate, Ribose, Thymine","Phosphate, Deoxyribose, Adenine",A
"The chemical formula C 6H12O6 contains much information. However, what information is NOT provided by the formula?",the number of atoms in a molecule,the name of the substance 44,the elements that make up the substance,whether the substance is covalent or ionic,B
Which of the particles listed below is the smallest?,an atom,a proton,an ion,a molecule,B
A molecular compound may be defined by which of the following?,atoms from non-metal elements covalently bonded.,atoms from metal elements covalently bonded,atoms from metal elements and non-metal elements covalently bonded,atoms from non-metal elements ironically bonded,A
Many drugs are neutralised to form salts and administered in this form. What is the main advantage of administering the salt form of the drug? It is usually:,less toxic,more soluble in water,more pleasant to taste,more soluble in lipid,B
Choose the correct statement about hydrogen bonds. They,are stronger than covalent bonds.,"act between the H in one –OH or –NH group, and the O or N in another.",operate within molecules.,"act between the H in one –OH or –NH group, and the H in another.",B
"Given that the atomic mass of nitrogen is 14 and of hydrogen is 1, what is the mass in grams of one mole of ammonia (NH 3)?",15,16,17,18,C
"Choose the ending that will correctly complete the sentence: When atoms of a metal element and atoms of a non-metal element react, the result is",a covalent compound consisting of molecules,a covalent compound consisting of ions,an ionic compound consisting of ions in a lattice,an ionic compound consisting of molecules in a lattice,C
"In a water molecule, the bond between oxygen (O) and hydrogen (H) is",a covalent bond and a polar bond,an ionic bond,a covalent bond,an ionic bond and forms an electrolyte,A
Molecules are relatively easy to separate from one another. This means that the bonds between them are:,ionic,covalent,relatively weak,relatively strong,C
What happens when a sodium atom reacts to form a compound? The atom will,gain one electron,lose one electron,gain two electrons,lose two electrons,B
"When nitrogen combines with hydrogen to form a compound, its formula will be:",NH 3,N3H,NH 4,NH,A
Which of the following type of bond between atoms is the weakest?,ionic bond,polar bond,covalent bond,hydrogen bond,D
"Ionic, non-molecular compounds are likely to have which of the following sets of properties?","high melting point, often soluble in organic liquids, in pure form do not conduct electricity.","low melting point, no strong odour, soluble in water, electrical conductivity in solution.","high melting point, electrical conductivity in solution, no strong odour, often soluble in water","low melting point, strong odour, soluble in organic liquids, in pure form do not conduct electricity.",C
Which of the following best describes a molecule?,The simplest structure in an ionic compound.,One thousandth of a mole.,The particles of which covalent compounds are composed.,The smallest particle of an element.,C
Which of the following symbols represents a chemical element?,O,CO,CO 2,H3O+,A
What is the name given to the particles that make up a covalent compound?,ions,molecules,anions and cations,metal atoms,B
"Given that one mole is 6 × 1023 particles, how much is a millimole?",6 × 1020 particles,106 mole,10-6 mole,6 × 10-3 particles,A
Which of the following is a definition of a molecule? The particle that composes:,covalent compounds,non-metal elements,electrolytes,ionic compounds,A
What is the smallest particle of a non-metal element known as?,a molecule,an atom,an ion,a neutron,B
What is the difference between ions and molecules?,ions have an electrical charge whereas molecules do not.,ions are from metal elements only whereas molecules contain only non- metal elements,"ions arise from compounds between non-metal elements, whereas mole-cules arise from metal and non-metal elements",an ion may be formed from a single atom but molecules always involve more than one atom,D
Of the four different types of matter listed below which is not an example of an element?,hydrogen,oxygen,water,gold,C
"A certain pure substance, A, when heated is changed into two quite different pure substances, C and D. Which of the following statements must be true?",A is a compound.,C and D are not elements.,"A, C and D are all compounds.","Which of the following statements must be true? A. A is a compound. B. C and D are not elements. C. A, C and D are all compounds. D. C and D are elements.",A
In which of the following sequences are particles listed in order of increasing size from left to right?,"electron, atom, proton, molecule","molecule, atom, proton, electron","atom, proton, electron, molecule","electron, proton, atom, molecule",D
Which of the following is the name of a subatomic particle?,anion,cation,molecule,neutron,D
Which of the following represen- tations of the bonding in a molecule of nitrogen is correct?,N+ N-,N–N,N=N,N≡N,D
"Which of the following properties is least likely to be possessed by a covalent, molecular substance?",strong odour,high solubility in water,melting point above 400 °C,low electrical conductivity,C
The diagrams below display the covalent bonds present in a series of simple molecules. In which case is the number of bonds surrounding an atom in the diagrams below INCORRECT?,"Carbon dioxide, O – C – O","carbon tetrachloride, CI CI CICI CI","ammonia, H HH N","water, H – O – H",A
"Given that one mole of Na+Cl− has a mass of 58.5 g, how many grams of Na+Cl− are dissolved in a solution of 0.1 mole per litre?",0.585 g,5.85 g,58.5 g,0.1 g,B
What is the percentage concentration of glucose if 80 gram of glucose is dis- solved in one litre of solution?,0.8 %,5 %,8 %,80 %,C
"Given that the concentration of hydronium ions in a solution with pH of 2 is 0.19 %, what would be the concentration of hydronium ions in a solution with pH of 3?",0.13 %,0.29 %,0.019 %,1.9 %,C
What does the term “electrolyte” refer to?,an uncharged dissolved particle.,the smallest particle of an element.,a substance that will conduct electricity when dissolved in water.,negatively charged sub-atomic particles.,C
What is meant by referring to a solution concentration of 0.18 %?,0.18 g of solute in 100 ml of solution.,1.8 g of solute in 100 ml of solution.,0.18 g of solute in one litre of solution.,0.18 mole of solute in 100 ml of solution.,A
Which of the following is NOT an electrolyte (or does not contain electrolytes)?,Cl −,acetic acid,glucose,a 0.9 % solution of sodium chloride,C
"If the concentration of a solution is 5 %, which of the following is true?",There is 0.5 g of solute per 100 ml of solution,There is 5 g of solute per 100 ml of solution,There is 5 g of solute per 1000 ml of solution,There is 50 g of solute per 100 ml of solution,B
What does the term “electrolyte” refer to?,the minor component of a solution.,a substance that will conduct electricity when dissolved in water. 4 Chemistry for Physiology 55,the smallest particle of an element.,negatively charged sub-atomic particles.,B
The solution concentration 0.9 % means that there are,0.9 g of solute in 100 ml of solution.,9.0 g of solute in 100 ml of solution.,0.9 g of solute in one litre of solution.,0.9 mole of solute in 100 ml of solution.,A
Which of the following is NOT an electrolyte (or does not contain electrolytes)?,K+,nitrate ions,haemoglobin,a 1 % solution of sodium chloride,C
Which is the best definition of an electrolyte?,an atom that dissociates into ions.,a substance that will conduct electricity when it is dissolved in water.,"molecules of solid, liquid or gas that will conduct electricity in solution.",a substance that will conduct electricity.,B
"A solution of 5 % glucose is used for an infusion. Over a 2 hour period, 300 ml of the solution were used. How much glucose in grams was infused?",5 gm,12.5 gm,15.0 gm,50 gm,C
A solution of glucose is used for an infusion. Over a 3 hour period 250 ml of solution is used containing a total of 5 g of glucose. What is the concentration of the glucose solution used?,2 %,20 %,0.2 %,5 %,A
Which of the following statements relating to a patient with severe loss of potassium due to diuretic abuse is TRUE?,the serum levels of potassium are > 3 mmol/L,an ECG is probably not warranted,the condition may be treated by administering oral glucose and potassium,one course of action is to decrease the intake of potassium and to undergo ion-exchange resin treatment,C
Which strategy would be most effective in dealing with a severe case of dehydration?,Oral administration of a hypertonic solution.,Intravenous administration of distilled water.,Intravenous administration of isotonic glucose.,Intravenous administration of hypotonic sodium chloride.,C
A common IV solution is the combination 0.18 % sodium chloride and 4 % glucose (also called “4 % and a fifth”). How many grams of each solute will be in a one litre bag?,0.18 g of sodium chloride and 4 g of glucose.,0.9 g of sodium chloride and 5 g of glucose,1.8 g of sodium chloride and 40 g of glucose,18 g of sodium chloride and 40 g of glucose,C
Which general description of the components of a solution is correct?,solvent and solute,solvent and liquid,solute and solder,liquid and solid,A
Which term below is NOT suitable to describe the concentration of a solution?,5 g/litre,5 %,2 Molar,0.5 moles,D
"Given that the healthy range of sodium ion concentration in the blood is 137– 145 mmol/L, if the measured concentration of a blood sample was 130 mmol/L, what would the condition be called?",hyperkalemia,hypokalemia,hypernatremia,hyponatremia,D
What can be said about a solution that conducts electricity?,the solute is a polar molecule,the solvent is a non-polar liquid,the solution contains dissolved ions,the solution contains dissolved molecules,C
A one litre IV bag contains 0.18 % sodium chloride and 4 % glucose. What mass of solutes would be dissolved in 100 ml of the solution?,0.18 g of sodium chloride and 4 g of glucose,1.8 g of sodium chloride and 4 g of glucose,1.8 g of sodium chloride and 40 g of glucose,18 g of sodium chloride and 40 g of glucose,A
"If a solution is shown to be able to conduct electricity, then what is true?",A: the solution is free of impurities,B: the solution contains a dissolved electrolyte,C: the solution contains dissolved molecules,D: the solution is an aqueous solution,B
How many grams of sodium chloride are there in a one litre bag of 4 % glucose and 0.18 % sodium chloride solution?,0.18,1.8,18,41.8,B
"In the vascular compartment of the body, what is the solvent?",blood,plasma,serum,water,D
"A solution of 5 % glucose is infused over a period of three hours. If 250 ml of solution was used, how many grams of glucose was infused?",5 g,12.5 g,15.0 g,50 g,B
A solution is prepared by dissolving 10 g of glucose in 250 ml of water. What will be the concentration of this solution expressed as a percentage?,4,6,25,40,A
Blood has a slightly higher osmotic pressure than the interstitial fluid that sur - rounds capillaries. What is the effect of this?,Water will tend to move from the interstitial fluid into the capillaries.,The solution concentration of blood is less than the solution concentration of interstitial fluid.,Water will tend to move from the capillaries into the interstitial fluid.,Capillaries will expand in diameter.,A
Osmosis involves movement of water from where the:,water concentration is lower to where it is higher,solute concentration is higher to where it is lower4.3 Diffusion and Osmosis 68,solution is more concentrated to where it is less concentrated,water concentration is higher to where it is lower,D
What information does the molarity of a solution provide?,the density of a solution,the number of dissolved particles per litre of solution,the mass of a mole of the substance,the tonicity of the solution,B
What term is applied to an intravenous solution that would cause a net move- ment of water out of red blood cells?,hypertonic,supertonic,epitonic,hypotonic,A
