question,optionA,optionB,optionC,optionD,answer
Which muscle naming criteria are used to name the quadriceps femoris?,muscle action and location,the origin and insertion 144,location and direction of muscle ﬁ bres,location and number of origins,D
Which of the following muscles is named according to its origin and insertion?,transversus abdominus,semimembranosus,sternocleidomastoid,deltoid,C
Which of the following is the smallest structure within a muscle ﬁ bre?,myosin,myoﬁ lament,myoﬁ bril,sarcomere,A
Smooth muscle cells may be described by which of the following?,"striated, voluntary, multinucleate","not striated, voluntary, multinucleate","striated, involuntary, uninucleate","not striated, involuntary, uninucleate",D
Which is the largest of the structures in a muscle ﬁ bre?,myoﬁ bril,myoﬁ lament,myosin,myopic,A
What information is contained in the muscle name “biceps brachii”?,the muscle location and the number of origins.,the number of origins and the muscle action.,the muscle size and location in the body.,the muscle’s shape and its action.,A
Which one of the following is NOT a characteristic of skeletal muscle?,excitability,autonomic innervation,contractility,extensibility,B
What is the gluteus maximus named for? Its,size.,shape.,action.,origin and insertion.,A
Skeletal muscle cells have all of the following characteristics EXCEPT one. Which one?,a neuromuscular junction crossed by ACh (acetyl choline),invaginations of sarcolemma called “T tubules”.,they are branched,they are striated,C
What is the role of Ca ++ in muscle contraction?,Ca causes an action potential to travel along the sarcolemma,Ca binds to troponin changing its shape.,"Ca attaches to the binding site of myosin, energising it.",Ca engages with the binding site of actin causing the power stroke,B
Which of the following muscle structures is the largest?,sarcomere,fascicle,myoﬁ bril,muscle ﬁ bre,B
Which feature is shared by cardiac muscle cells and skeletal muscle cells?,striations,intercalated discs,branching,involuntary nature,A
Which of the following muscle structures is the smallest?,sarcomere,fasciculus,myoﬁ bril,muscle ﬁ bre,A
Skeletal muscle cells can be characterised as:,"unstriated, involuntary, multinucleate","unstriated, voluntary, multinucleate","striated, voluntary, uninucleate","striated, voluntary, multinucleate",D
Which one of the following is not made of skeletal muscle?,the diaphragm,pyloric sphincter,vastus lateralis,the tongue,B
"What are the muscles known as triceps brachii, biceps femoris and quadriceps femoris named according to? Their:",relative size and location of muscle’s origin,number of origins and location in the body,shape of muscle and direction of muscle ﬁ bres,number of insertions and location in the body,B
Which statement about thick or thin myoﬁ laments is CORRECT?,"Thick myoﬁ laments contain the three proteins myosin, tropomyosin and troponin.","Thin myoﬁ laments contain the three proteins actin, tropomyosin and troponin.",Thick myoﬁ laments contain about 300 myosin molecules each of which has a binding site for a cross bridge.,Thin myoﬁ laments contain about 300 myosin molecules each of which has a cross bridge.,B
Which of the following describes skeletal muscle?,"striated, voluntary, multinucleate, individually named.","striated, branched, uninucleate, involuntary.","not striated, uninucleate, voluntary, individually named.","not striated, multinucleate, involuntary, with intercalated discs.",A
Which list is in the correct order of DECREASING size?,"muscle ﬁ bre, sarcomere, myoﬁ lament, myoﬁ bril.","muscle, fasciculus, muscle ﬁ bre, myoﬁ bril.","sarcomere, fasciculus, myoﬁ bril, myoﬁ lament.","muscle, muscle ﬁ bre, myosin, myoﬁ bril.",B
