question,optionA,optionB,optionC,optionD,answer
What is the approximate range of pH of gastric juice in the stomach?,1.6–1.8,"6.2–7.44.5 Acids, Bases and Buffers 82",7.3–7.5,7.8–8.6,A
Which of the following is a function of the skeletal system?,haemopoiesis,haemostasis,peristalsis,glycogenolysis,A
One of the following processes is NOT part of mechanical digestion. Which One?,hydrolysis,peristalsis,segmentation,mastication,A
Which of the following glands are accessory organs of the digestive system?,adrenal glands,pancreatic islets,gastric glands,salivary glands,D
What is the role of gastrin in the digestive system?,to stimulate release of bile and pancreatic juice,to stimulate gastric secretion,to activate pepsinogen,to hydrolyse proteins to polypeptides 9 Gastro-Intestinal System 163,B
Which liver cells produce bile?,Kupffer cells,sinusoids,hepatocytes,the acini,C
From which of the gut structures below is most digested food absorbed?,duodenum,stomach,ileum,ascending colon,C
Which of the following is TRUE of bile?,it converts inactive pancreatic enzymes to active form.,needed in the small intestine for the digestion of fats.,synthesised by the gall bladder.,needed in the small intestine for the emulsiﬁ cation of fats.,D
Why are the blood capillaries in the liver lobules so permeable?,to allow the products of digestion to leave the blood for processing in the liver.,to allow fatty acids to leave the liver cells to enter the blood.,to allow plasma proteins that are synthesised in the liver to enter the blood.,to allow red blood cells at the end of their life to leave the blood to be recycled in the liver.,C
What is the name given to the process of moving the gut contents along the tract in the right direction?,Peristalsis,Emesis,Segmentation,Deglutition,A
Which hormone stimulates the release of bile and pancreatic juice?,cholecystokinin,secretin,intestinal gastrin,pepsin,A
The liver contains “leaky capillaries” known as sinusoids. This enables what liver product to enter the blood stream?,Angiotensinogen,Kupffer cells,Plasma proteins,Cholesterol,C
What is the function of bile salts?,To assist the absorption of digested lipids,To emulsify lipids,To hydrolyse lipids,To digest lipids,B
Where is the gastro-oesophageal sphincter?,between the stomach and the duodenum,between the stomach and the caecum,at the entrance to the stomach,before the external anal sphincter 9 Gastro-Intestinal System 169,C
A lobule of the liver contains several blood vessels. Which one carries nutrient- rich blood from the small intestine?,hepatic artery proper,hepatic portal vein,central vein,bile ductule 9 Gastro-Intestinal System 170,B
What is the purpose of the mucosal barrier between the cells of the stomach wall and the stomach contents?,It prevents the enzymes in the stomach contents from digesting the stomach,It converts pepsinogen to its active form.,It prevents bacteria in the stomach from invading the stomach wall.,It prevents undigested food molecules from being absorbed by the stom- ach lining.,A
Which parts of the alimentary canal prepare food for chemical digestion?,"the mouth, oesophagus and stomach.","the mouth, stomach and small intestine.","the mouth, stomach and duodenum.","the teeth, stomach and pancreas.",C
What food is digested by lipase?,nucleic acids,carbohydrates 9 Gastro-Intestinal System 171,polypeptides,triglycerides,D
What is the function of bile?,bile hydrolyses polypeptides.,bile emulsiﬁ es fats and oils.,bile activates procarboxypeptidase.,bile stimulates the pancreas to secrete pancreatic juice.,B
The liver is able to deaminate amino acids forming ammonia in the process. What happens to the ammonia?,It is phagocytosed by Kupffer cells.,It is used in transamination to form non-essential amino acids.,It is converted to bile to be excreted via the gut.,It is converted to urea for excretion by the kidneys.,D
What happens to the products of digestion of lipids? They are absorbed into a:,capillary and transported by the blood to the liver.,capillary and transported by the blood to the heart.,lacteal and transported by the lymph to the heart.,lacteal and transported by the lymph to the liver.,C
"If blood glucose is high, what does the liver do about it?",The liver converts glucose to glycogen or triglycerides.,The liver performs glycogenolysis.,The liver performs gluconeogenesis.,The liver transaminates glucose to produce amino acids. 9 Gastro-Intestinal System 172,A
Which three sections does the small intestine consists of?,"ileum duodenum, caecum","antrum, jejunum, duodenum","rectum, ileum, duodenum","ileum, duodenum, jejunum",D
What name is given to the movement of food material through the gastrointes- tinal tract?,peristalsis,segmentation,deglutition,bowel movement,A
Emulsiﬁ cation is the name of the process carried out by:,lipase,bile,micelles,lacteals,B
The pH of the stomach and the pH of the small intestine are BEST described (respectively) as:,acidic and alkaline/basic,strongly acidic and weakly alkaline/basic,acidic and weakly alkaline/basic,strongly acidic and strongly alkaline/basic,B
"What feature do procarboxypeptidase, pepsinogen, ﬁ brinogen, chymotryp- sinogen have in common?",they are all enzymes.,they are all produced by the pancreas.,they are all inactive.,they all digest proteins.,C
What does bile do?,Bile stimulates the release of lipase,Bile emulsiﬁ es fat,Bile digests fat,Bile hydrolyses fat,B
Which of the following is NOT a part of the gastrointestinal tract?,ileum,pancreas,rectum,caecum,B
Why are sinusoids the type of capillaries found within a liver lobule?,to allow for mixing of blood from the hepatic artery and the hepatic portal vein.,so that liver synthesised plasma proteins may enter the blood,to allow worn out red blood cells to leave the blood stream.,in order for the products of digestion to be removed from the blood.,B
