question,optionA,optionB,optionC,optionD,answer
Fluid and electrolyte balance in the body is maintained by which of the following?,the hormone aldosterone,keeping accurate account of the patient’s fluid balance chart,the nephron of the kidney,the hypothalamus of the brain,C
Electrolyte balance is achieved largely by:,the kidneys and aldosterone,drinking sufficient water,anti-diuretic hormone and isotonic fluids,ensuring that daily water intake is the same as daily water output,A
How would the hypothalamus respond if its osmoreceptors noticed an increase in plasma osmotic pressure? It would send a message to:,the posterior pituitary to release more ADH,the posterior pituitary to release less ADH,the adrenal cortex to release less aldosterone,the atria to release more ANP,A
Which hormone is responsible for contraction of the gall bladder?,secretin,gastrin,cholecystokinin,intrinsic factor,C
Which hormones are soluble in blood?,Steroid hormones,Hormones produced by the adrenal cortex,The sex hormones,Those released by the pituitary gland,D
What hormone does the thyroid produce?,thyroid stimulating hormone,calcitriol,thyroxine,parathyroid hormone,C
What hormone(s) does the adrenal medulla produce?,aldosterone,epinephrine and norepinephrine,corticosteroids,glucocorticoids,B
What effect does parathyroid hormone have?,It increases plasma Ca 2+ concentration,It decreases plasma Ca 2+ concentration,It increases the rate of ATP formation,It stimulates the thyroid gland to produce thyroxine,A
From where are antidiuretic hormone and oxytocin released?,the anterior pituitary,the posterior pituitary,the adrenal cortex,the adrenal medulla,B
Which structure controls the endocrine system and integrates the activities of the nervous and endocrine systems?,the infundibulum,the pituitary gland 10 Endocrine System 196,the thalamus,the hypothalamus,D
One of the statements below is true. Which one?,the anterior pituitary produces testosterone from cholesterol and releases it when releasing hormones arrive from the hypothalamus.,the hypothalamus produces ADH and oxytocin which are stored in the pos- terior pituitary.,the posterior pituitary contains autonomic centres that exert neural control over the adrenal glands.,the thalamus produces ADH and oxytocin which are stored in the anterior pituitary,B
Iodine is an essential component of which hormone?,thyroid hormones,aldosterone,thyroid stimulating hormones,parathyroid hormone,A
Which hormone(s) increases the reabsorption of Ca ++ from the ﬁ ltrate in the kidney tubule?,calcitonin,mineralocorticoids,parathyroid hormone,aldosterone,C
Which endocrine organ produces “releasing hormones” and “inhibitory hormones”?,thyroid,anterior pituitary,hypothalamus,thalamus,C
What hormone is produced by the parafollicular cells of the thyroid gland?,Parathyroid hormone,Calcitonin,Thyroid hormone,Thyroxine,B
What hormones are produced by the adrenal medulla?,Epinephrine and norepinephrine,Insulin and glucagon 10 Endocrine System 198,Aldosterone and erythropoietin,Testosterone and estrogen,A
What is the effect of ADH (antidiuretic hormone)?,allows walls of collecting duct to become permeable to water,inhibits the reabsorption of Na +,causes an increase in the volume of urine produced,it promotes diuresis,A
Which hormones are produced by the adrenal medulla?,gonadocorticoids,steroid hormones,mineralocorticoids,catecholamines,D
Which structure integrates the activities of the endocrine system and the ner- vous system?,the hypothalamus,the thalamus,the posterior pituitary,the anterior pituitary,A
Which structure produces ADH and oxytocin?,the thalamus,the anterior pituitary,the hypothalamus,the posterior pituitary,C
Which hormone is the one made in greatest quantity by the thyroid gland?,calcitonin,thyroid stimulating hormone,tri-iodothyronine,thyroxine,D
Which of the following organ(s) are NOT endocrine organs?,renal,adrenal 10 Endocrine System 200,thyroid,parathyroid,A
Which structure produces the hormones ADH and oxytocin?,the posterior pituitary,the anterior pituitary,the thalamus,the hypothalamus,D
What is the role of glucagon and insulin?,glucagon raises blood glucose level and inhibits gluconeogenesis.,glucagon lowers blood glucose level and stimulates glycogenolysis. 10 Endocrine System 201,insulin raises blood glucose level and stimulates gluconeogenesis,insulin lowers blood glucose level inhibits glycogenolysis.,D
Which of the following “controls” the endocrine system?,the posterior pituitary,the thalamus,the anterior pituitary,the hypothalamus,D
Which part of the pituitary gland is comprised of neural tissue?,the posterior pituitary,the pars intermedia,the adenohypophysis,the anterior pituitary,A
The adrenal medulla produces which of the following?,weak androgens,mineralocorticoids 10 Endocrine System 202,testosterone and oestrogen,epinephrine and norepinephrine,D
What effect does insulin have?,it increases metabolic rate,it causes the breakdown of glycogen to glucose,it lowers blood sugar level,it stimulates gluconeogenesis,C
