question,optionA,optionB,optionC,optionD,answer
"24 of the chemical elements are essential to the human body. Four bulk ele-ments, 7 are macrominerals and 13 are trace elements. Which are the four bulk elements?","calcium, carbon, hydrogen & oxygen","nitrogen, carbon, hydrogen & oxygen","calcium, nitrogen, carbon & oxygen","carbon, oxygen, phosphorus & iron",B
"If a blood sample has a pH of 7.25, which of the following is NOT true?",the blood is acidic,the person may be suffering from metabolic acidosis,the person may be suffering from respiratory acidosis,the blood is alkaline,A
Why is the myocardium of the left ventricle thicker than that of the right ventricle?,The left ventricle has to pump a greater volume of blood than the right ventricle.,The resistance of the systemic circulation is greater than that of the pulmo-nary circulation.,The left ventricle has to pump blood to the brain against gravity.,The right ventricle is assisted by the “respiratory pump”.,B
"What formula, or law or principle refers to the partial pressure of a gas?",Boyle’s law,Henry’s law,Pascal’s principle,Poiseuille’s law,B
"Given that 20 % of the air at the normal pressure of 100 kPa is oxygen, then what is the partial pressure of oxygen?",0.2 kPa,2.0 kPa,20 kPa,80 kPa,C
What will be the partial pressure of oxygen in a hyperbaric chamber where the atmosphere contains 30 % oxygen and is at a pressure of three atmospheres (300 kPa)?,20 kPa.,30 kPa.,60 kPa.,90 kPa.,D
Which of the following is a statement of Henry’s law?,"The partial pressure of a gas, in a mixture of gases, is the contribution it makes to the total pressure of the mixture.","In a mixture of gases, the total pressure is the sum of the pressures exerted by each of the gases alone.",Pressure applied to any point in a gas is transmitted equally and undimin-ished to all parts of the gas and to the walls of the container.,The quantity of gas that will dissolve in a liquid at a given temperature is proportional to the partial pressure of the gas and to its solubility coefficient.,D
"If the composition of air is 20 percent oxygen with an atmospheric pressure of 700 mmHg, what would the partial pressure of oxygen be?",14 mmHg.,20 mmHg.,140 mmHg.,700 mmHg.,C
Which of the following statements could be applied to “external respiration”?,Exchange of gases between alveolar air and the blood in pulmonary capillaries.,Exchange of dissolved gases between blood in tissue capillaries and the body tissues.,The production of CO 2 from organic molecules in the cells by using O 2 .,The inhalation of atmospheric air into the lungs followed by exhalation.,A
Which anatomical structures does the “conducting zone” of the lower respira- tory tract contain?,"Eustachian tube, larynx and trachea.","Primary, secondary and tertiary bronchi and bronchioles.","Nares, conchae, olfactory mucosa and sinuses.",Nasopharynx and larynx.,B
What term is applied to the volume of air that moves into the lungs while breathing at rest?,anatomical dead space,inspiratory reserve capacity,tidal volume,residual volume,C
What term is applied to the exchange of dissolved gases between capillary blood and body tissues?,Internal respiration,External respiration,Ventilation,Cellular respiration,A
Between which two anatomical structures does the Larynx lie?,The nares and the choanae,The epiglottis and the trachea,The choanae and the glottis,The glottis and the epiglottis,B
The goal of respiration is to control the concentration of which substances dis- solved in the blood?,oxygen,oxygen and carbon dioxide,"oxygen, carbon dioxide and hydrogen ions","oxygen, carbon dioxide, hydrogen ions and ATP",C
What is a good deﬁ nition of “internal respiration”?,A.The exchange of gases between body tissues and capillary blood.,B.Ventilation of the lungs.,C.The production of ATP and CO 2 from small molecules using O 2 .,D.The exchange of gases between the alveoli and pulmonary capillaries.,A
To what does the term “external respiration” refer?,ventilation of the lungs (breathing),exchange of gases between alveolar air and lung capillaries,the production by cells of ATP from small molecules and oxygen,exchange of dissolved gases between capillary blood and body tissues,B
How is the diaphragm innervated?,from the respiratory centre in concert with chemoreceptors that detect blood oxygen level,by the spinal nerves arising from thoracic vertebrae at the same level,by the phrenic nerve arising from vertebrae C3 to C5,by the vagus nerve arising from the medulla oblongata,C
Which structures constitute the “upper respiratory tract”?,"nose, pharynx and larynx","larynx, epiglottis and bronchi","trachea, bronchi and bronchioles","terminal bronchioles, alveoli and pleurae",A
The lists below include of four respiratory tract structures. Which list has them in the order that inhaled air would pass through them on the way to the lungs?,"glottis, pharynx, conchae, trachea","nares, pharynx, larynx, conchae","conchae, pharynx, larynx, trachea","pharynx, conchae, trachea, glottis",C
The term “cellular respiration” is applied to:,exchange of gases in the lungs,ventilation of the lungs (breathing),exchange of gases in the body tissues,the production of ATP in the cells,D
The respiratory centre in the brain is sensitive to,an increase in H + concentration in the CSF.,a decrease in O 2 concentration in the blood.,an increase in H + concentration in the blood.,a decrease in O 2 concentration in the CSF.,A
What happens when carbon dioxide levels in the blood decrease to below normal?,pH of the blood decreases.,the blood becomes more acidic.,the concentration of hydrogen ions in the blood decreases.,pH does not change.,C
"In a healthy person, which of these lung volumes should be the largest?",tidal volume,vital capacity,expiratory reserve volume,residual volume,B
What term refers to the exchange of gases between alveolar air and blood in the pulmonary capillaries?,inhalation,internal respiration 13 Respiratory System 325,ventilation,external respiration,D
Which of the following is responsible for increasing respiratory activity under normal conditions?,decreased CO 2 level in blood,decreased O 2 level in blood,increased CO 2 level in blood,increased blood pH,C
To what does “internal respiration” refer?,inhalation,exchange of gases between alveolar air and blood in the pulmonary capillaries.,exchange of gases between capillary blood and interstitial ﬂ uid.,the production of ATP from organic molecules using oxygen.,C
How is the diaphragm innervated?,by the phrenic nerves arising from C3 to C5,by the vagus nerves from the respiratory centre,by cranial nerves arising from C5 to C7,by nerves arising from the spinal cord from T5 to T9.,A
Which structures comprise the lower respiratory tract?,"pharynx, larynx, trachea","larynx, trachea, bronchi","nose, pharynx, larynx","trachea, bronchi, lungs",D
"With regard to lung ventilation, what does “dead space” refer to?",air in the conducting zone of the bronchial tree,air remaining in the alveoli after an exhalation at maximal effort.,air between the parietal and visceral pleura,the difference between the volume of a maximum inhalation and the tidal volume.,A
"If the spinal cord is severed below C4, what will be the effect on breathing?","paraplegia will result, but breathing will not be affected.","the intercostal muscles are able to effect ventilation, but the diaphragm will not work 13.1 Anatomy and Physiology 328","the diaphragm is able to effect ventilation, but the intercostal muscles will not work",independent breathing will not be possible.,C
The “lower respiratory tract” includes all those structures below which of the following?,the internal nares,larynx,trachea,conducting zone,B
Which of the following statements is correct?,tidal volume is maximum volume that can be inhaled and exhaled,FEV1 is the maximum volume of air that can be forcefully exhaled in 1 second,expiratory reserve volume is the maximum volume of air that can be exhaled after a deep inhalation,vital capacity is the expiratory reserve volume added to the inspiratory reserve volume,B
What happens when carbon dioxide levels in the blood increase?,pH of the blood increases.,the blood becomes more alkaline.,the number of hydrogen ions in the blood decreases.,the blood becomes more acidic.,D
Chemoreceptors in the medulla oblongata are sensitive to,increases in blood oxygen content.,increases in blood carbon dioxide.,increases in blood pH.,both choices A. and B.,D
