question,optionA,optionB,optionC,optionD,answer
Which capillaries have walls that allow the easiest passage of materials through them?,fenestrated capillaries,capillaries of the blood-brain barrier,sinusoids,continuous capillaries,C
What are capillaries that have endothelial cells joined by “tight junctions” and have “intercellular clefts” between cells called?,the blood-brain barrier,continuous capillaries 12 Cardiovascular System 269,fenestrated capillaries,sinusoids,B
The central chemoreceptors in the brain stem increase breathing rate in response to which stimulus?,an increase in CO 2 concentration in the CSF,an increase in CO 2 and H + concentration in the CSF,a decrease in O 2 concentration in the CSF,a decrease in O 2 concentration in the blood,B
"In the peripheral nervous system, which cells form the myelin sheath?",Ependymal cells,Schwann cells,Astrocytes,Oligodendrocytes,B
Which of the following substances CANNOT pass through the “blood-brain barrier”?,steroid hormones,O 2 molecules,alcohol,potassium ions,D
What name is given to the cells in the nervous system that produce nerve impulses?,neurotransmitters,nerves,neurons,neuroglia,C
Which neurons are unipolar?,neurons in the central nervous system,neurons in the retina,sensory neurons,motor neurons,C
Which glial cells are responsible for forming the myelin sheath around periph- eral nerve cells?,Astrocytes,Schwann cells,Satellite cells,Oligodendrocytes 14.1 Cells and Action Potential 350,B
Which of the following statements is true of neuroglia?,they are the cells that link motor neurons to sensory neurons,it is the non-cellular material that lies between neurons,they have only one dendrite and one axon,they produce the myelin sheath,D
Which nerve cells carry impulses from the brain to the muscles?,Sensory,Motor,Afferent,Association,B
What are the major type of nerve cells in the CNS?,multipolar,sensory,interneurons,unipolar,A
What is the type of neuroglia that forms the myelin sheath on neurons outside of the CNS?,Oligodendrocytes,Satellite cells,Schwann cells,Microglia,C
Which of the following would conduct an action potential with the greatest speed?,"myelinated, large diameter ﬁ bres","myelinated, small diameter ﬁ bres","unmyelinated, large diameter ﬁ bres","unmyelinated, small diameter ﬁ bres",A
Which of the following is a characteristic of an action potential?,The signal is graded,It results due to an inﬂ ux of potassium ions,it is an all or none response,It results from an initial outﬂ ow of sodium ions,C
What is meant by an absolute refractory period?,at least 5 ms must elapse from the time of the ﬁ rst action potential before a second can be initiated,an action potential cannot be initiated during this period regardless of the strength of the stimulus,an action potential can be initiated if the strength of the stimulus is higher than normal (>70 mV),an action potential can be initiated if the strength of the stimulus is lower than normal (<70 mV),B
"In nerve ﬁ bres with myelin sheaths, which of the following is true about the electrical conduction?","It is ‘saltatory’, so propagates at higher speed",It requires more energy to send an impulse,The conduction between adjacent axons is enhanced (‘cross talk’ is increased),It is slower due to the separation between the ‘nodes of Ranvier’,A
Which of the lists of structures include all of the central nervous system?,"cerebellum, cerebrum, spinal cord, diencephalon, brainstem","midbrain, spinal cord, autonomic nerves, pons, diencephalon","midbrain, cerebellum, special sense organs, medulla oblongata","cerebrum, sensory neurons, motor neurons, cerebellum",A
"What are the three meninges and two named “spaces” that surround the brain, in order from superﬁ cial to deep (outermost to innermost)?","pia, arachnoid, sub-arachnoid, dura, septa","sub-arachnoid, epidural, dura, pia, arachnoid","arachnoid, sun-arachnoid, pia, epidural, dura","epidural, dura, arachnoid, sub-arachnoid, pia",D
In which of the following places would you NOT ﬁ nd cerebrospinal ﬂ uid?,the sub-arachnoid space,the third ventricle of the brain,the epidural space,the central canal of the spinal cord,C
In which part of the brain is the thalamus found?,diencephalon,cerebrum,cerebellum,brainstem,A
Which four structures together make up the brain?,"cerebrum, diencephalon, brainstem and cerebellum","cerebrum, thalamus, brainstem and cerebellum","cerebrum, diencephalon, meninges and cerebellum","spinal cord, diencephalon, brainstem and medulla oblongata",A
Which of the following substances is prevented from entering the brain by the blood-brain barrier?,glucose,nicotine,pharmaceuticals,alcohol,C
What part of the brain contains the motor areas and the sensory areas?,cerebrum,diencephalon,brainstem,cerebellum,A
Where is the cerebral spinal ﬂ uid found?,Between the pia mater and the brain,Between the dura mater and the arachnoid mater,Between the dura mater and the pia mater,Between the arachnoid mater and the brain,D
Which of the following substances CANNOT cross the blood-brain barrier?,"metabolic wastes, toxins, K +","O 2 , CO 2 and H 2 O","fats, fatty acids, fat soluble substances","alcohol, nicotine, anaesthetics",A
"What part of the brain contains the midbrain, the pons and the medulla oblongata?",the diencephalon,the cerebrum,the cerebellum,the brainstem,D
What is the blood-brain barrier?,It is the inner two meninges that surround the brain.,It is formed by the capillaries of choroid plexus and ependymal cells.,"It is the endothelial cells of capillaries that supply the brain, and their astrocytes.",It is the cerebrospinal ﬂ uid that bathes the brain.,C
What are the “ascending tracts” of the spinal cord and what do they do?,They are white matter and they transmit sensory information to the brain.,They are gray matter and they transmit sensory information to the brain.,They are white matter and they transmit motor information to the brain.,They are gray matter and they transmit motor information to the brain.,A
To what does the “blood-brain barrier” refer?,the three meninges that surround the brain and spinal cord.,the tight junctions between endothelial cells of the capillaries that serve the brain.,the structures that prevent fat-soluble molecules from entering the brain from the blood.,the structure that produces cerebrospinal ﬂ uid from blood.,B
What do the descending tracts of the spinal cord contain?,white matter and transmit sensory information,white matter and transmit motor commands,gray matter and transmit sensory information,gray matter and transmit motor commands,B
Which of the following lists all of the main sections of the brain?,"cerebrum, brainstem, midbrain, medulla oblongata","cerebrum, cerebral cortex, cerebellum, mesencephalon","cerebellum, diencephalon, brainstem, cerebrum","cerebral cortex, midbrain, diencephalon, cerebellum",C
What is the most superﬁ cial part of the brain called?,diencephalon,cerebral cortex,cerebellum,mesencephalon 14 Nervous System 371,B
"With respect to the spinal cord, where is the epidural space?",external to the dura mater,between the arachnoid and pia maters,between the arachnoid and dura maters,between the two layers of the dura,A
The precentral gyrus is the area of brain which houses,the primary motor cortex,our association areas,the primary somatosensory area,our higher intellectual functions,A
