question,optionA,optionB,optionC,optionD,answer
What can be said about noise-induced hearing loss?,It affects sound frequencies near 4000 Hz most.,It is also called presbycusis.,It is likely to be caused by sounds above 65 dB.,It is due to otosclerosis.,A
The amplitude of a wave is related to which of the following?,the distance between two successive crests.,the number of wavelengths that pass by per second.,the speed of the wave’s travel.,the amount of energy it carries.,D
Which is the BEST definition of a wave?,The method by which the energy carried by visible light is propagated.,Travelling oscillations in the magnitude and direction of electric and mag- netic fields that do not require a material medium.,"A periodic disturbance in some property of the medium, the medium itself remains (relatively) at rest.",A mechanism for the transfer of energy without the transfer of matter.,D
"The wave equation may be written in symbols as v = fλ where f stands for fre-quency, v stands for velocity and λ stands for wavelength. If a wave has a speed of 3 × 10 8 m/s what is its frequency and wavelength?",f = 10 000 Hz and λ = 0.0003 m.,"f = 5 × 1014 Hz and λ = 6 × 10−7 m. 16 Waves, Light Waves, Sound Waves, Ultrasound (The Physics Of) 421",f = 6 × 104 Hz and λ = 0.5 × 10−4 m.,f = 2 MHz and λ = 3 × 105 m.,B
"The wave equation may be written in symbols as v = fλ where f stands for fre-quency, v stands for velocity and λ stands for wavelength. If a wave has a speed of 2 × 10 8 m/s what is its frequency and wavelength?",f = 4 × 104 Hz and λ = 0.5 × 10−4 m.,f = 5 × 1014 Hz and λ = 4 × 10−7 m.,f = 10 000 Hz and λ = 0.0002 m.,f = 2 MHz and λ = 1 × 105 m.,B
What name is given to the change in the observed frequency of a wave (or its reflection) because of the motion of the source (or the reflecting object) or of the observer?,the beat frequency,the red shift,phase inversion,the Doppler effect,D
Which quantity most closely describes the amount of energy that is transported by a wave?,Frequency.,Amplitude.,Wavelength.,Velocity.,B
What is the amplitude of a wave?,the maximum displacement from the rest position.,the distance between adjacent troughs.,the energy carried by the wave.,the frequency multiplied by the wavelength.,A
"Waves have properties (such as wavelength, frequency, period, speed, ampli-tude, intensity, direction and phase) which can be measured. Some of these properties are related. That is, if one of a pair of related properties is known, then the other can be worked out. Which of the following lists contain proper - ties that are all Unrelated to each other?","Amplitude, period, intensity, phase","Frequency, amplitude, period, wavelength 16 Waves, Light Waves, Sound Waves, Ultrasound (The Physics Of) 423","direction, speed, amplitude, phase","Phase, wavelength, speed, frequency",C
The wave equation for electromagnetic radiation may be stated (in words) as “the product of wavelength and frequency is a constant called the speed of light”. The speed of light is 3 × 10 8 m/s. Use this information to determine the frequency of an electromagnetic radiation with a wavelength of 600 nanometres.,5 × 10 14 Hz,2 × 10−17 Hz.,1.8 × 1014 Hz.,1.8 × 1011 Hz.,C
