question,optionA,optionB,optionC,optionD,answer
Why is the myocardium of the right ventricle (RV) thinner than that of the left ventricle (LV)?,the RV pumps into the pulmonary circuit which has less resistance than the systemic circuit.,the RV pumps a smaller volume of blood than the LV .,the RV pumps blood out with a slower exit speed than the RV .,the RV chamber has a smaller volume than the LV .,A
Why is the myocardium of the right ventricle thinner than that of the left ventricle?,the left ventricle has to pump a greater volume of blood than the right ventricle.,it results from left ventricular hypertrophy due to increased peripheral resistance.,it pumps blood into the low resistance pulmonary circulation.,it pumps blood into the high resistance systemic circulation.,C
Which of the following does NOT influence the resistance to blood flow?,diameter of the arterioles,temperature of the blood,haematocrit,diameter of the veins,D
Which completed statement is NOT true? Peripheral resistance:,increases if diameter of blood vessels increases,is greater if the total length of blood vessels is greater,increases if viscosity of blood increases,is greater than pulmonary resistance,A
Sensory receptors convert stimuli into what?,neurotransmitters,action potentials,graded potentials,voltage-gated channels,C
An oscillating magnetic field will be produced by:,an electric field of constant magnitude.,a permanent magnet moving at constant speed.,the direct current that powers portable radios.,the alternating current in household electrical appliances.,D
Which is the correct statement about the behaviour of electrical charges?,an electron and a proton will repel each other.,two like charges would repel each other.,like charges would attract each other.,unlike charges repel each other.,B
"In an Australian domestic AC electrical circuit, what is the potential difference (voltage) in the three wires?","active wire oscillates between +240 V and −240 V , while neutral and earth are both at 0 V .","neutral wire at –240 V , active at +240 V , earth at 0 V .","active wire at +240 V , while neutral and earth are both at 0 V .","neutral wire and active wire both at +240 V , earth at −240 V .",A
"How much current (I) will ﬂ ow through someone who touches a 240 V active wire with one hand and the ground with the other, given that their hand to hand resistance (R) is 2400 ohms? (use the equation V = I × R)",100 microamps,10 milliamps,100 milliamps,10 amps,C
The effects on a human that result from an electric shock depend upon all of the following EXCEPT one. Which one?,Amount of current ﬂ owing.,Whether current is AC or DC.,The path through the body taken by the current.,Time for which current ﬂ ows.,B
"Inside a typical household electrical appliance that has a three prong plug, what is the earth wire connected to?",The fuse.,The neutral wire.,The metal casing,The on/off switch.,C
"How much current (I) will ﬂ ow through someone who touches a 240 V active wire with one hand and ground with the other, given that their hand to hand resistance (R) is 24,000 ohms? (V = I × R)",100 microamps,10 milliamps,100 milliamps,10 amps,B
Which three electrical quantities does Ohm’s law relate to each other?,"current, resistance and potential difference","potential difference, current and voltage","resistance, charge and ohms","charge, current and potential difference",A
"Given Ohm’s law i.e. potential difference (V) is the product of current (I) and resistance (R), which of the following statements is true? If potential difference is ﬁ xed (at say, 240 V):",a high resistance means that a low current will ﬂ ow.,a high resistance means that a high current will ﬂ ow.,a low resistance means that a low current will ﬂ ow.,current will be ﬁ xed whatever the resistance.,A
"A person, holding to the edge of the bath, steps out onto an exposed wire in a frayed electrical cord attached to a domestic (240 V) radiant heater on the ﬂ oor. Consequently a fatal current of 100 mA ﬂ ows between their hand and foot. What must be the electrical resistance between these two points?",240 × 100 = 2.4 ohms,240 × 0.1 = 24 ohms,240 × 0.1 = 2400 ohms,"240 × 100 = 24,000 ohms",C
"Ohm’s law may be stated in the form: ‘the current ﬂ owing in a circuit is the potential difference divided by the electrical resistance in the circuit’. If a per-son whose hand to hand resistance is 80,000  touches a live wire (attached to 240 V mains supply) and a wall at the same time, what is the magnitude of the current that will ﬂ ow through the chest?",3 mA.,30 mA.,300 mA.,3000 mA.,A
