question,optionA,optionB,optionC,optionD,answer
To which of the following does the “tissue level” of structural organisation refer?,"atoms, ions, molecules and electrolytes","mitochondria, ribosomes, nucleus, endoplasmic reticulum","nephron, alveolus, villus, lobule","muscle, nervous, connective, epithelial",D
Which structure within the cell produces ATP (adenosine triphosphate)?,the mitochondria,the nucleus,peripheral proteins,the endoplasmic reticulum,A
Which of the following is NOT a component of the cell plasma membrane?,cholesterol,proteins,microﬁ laments,phospholipids,C
Which list below contains the four types of tissue?,"extracellular ﬂ uid, skeletal tissue, glandular tissue, connective tissue.","extracellular ﬂ uid, muscle tissue, glandular tissue, cartilaginous tissue.","neural tissue, skeletal tissue, epithelial tissue, cartilaginous tissue.","Neural tissue, muscle tissue, epithelial tissue, connective tissue.",D
"Except for one, the following are types of cells. Which one is NOT a type of cell?",platelets,leucocytes,macrophages,osteoblasts,A
In which part of a cell does the process of making ATP from oxygen and glu- cose take place?,lysosomes,ribosomes,mitochondria,golgi apparatus,C
Which of the following is a function of membrane proteins?,to process lipids and proteins for secretion through the plasma membrane,to act as receptors for hormones,to synthesise proteins from amino acids,to act as a cytoskeleton to support and shape the cell,B
What is the difference between simple squamous cells and simple columnar cells?,squamous cells are ﬂ attened while columnar cells are taller than they are wide.,simple squamous cells are one layer thick while simple columnar cells are several layers thick.,simple squamous cells are epithelial tissue while simple columnar cells are connective tissue.,squamous cells are ﬂ attened while columnar cells are cuboidal.,A
Which of the following is NOT an example of a cell?,macrophages,lysosomes,plasmocytes,chondroblasts,B
Which cell organelles contain an acidic environment capable of digesting a wide variety of molecules?,Lysosomes,Ribosomes,Centrosomes,Golgi complex,A
Which form of transport through the plasma membrane requires the expendi- ture of energy by the cell?,Facilitated diffusion,Osmosis,Active transport,Diffusion,C
Which of the tissue types below consists of a single layer of cells?,stratiﬁ ed squamous epithelial tissue,glandular epithelium 2.1 Cells and Tissues 10,areolar connective tissue,simple columnar epithelial tissue,D
One of the following is NOT a serous membrane. Which one?,pleura,peritoneum,mucosa,pericardium,C
Which of the following is NOT made predominantly from epithelial tissue?,In the dermis,In exocrine glands,In endocrine glands,In the endothelium of blood vessels,A
What are tendons and ligaments composed of?,Dense connective tissue,Liquid connective tissue,Muscular tissue,Epithelial tissue,A
What is the composition of the intercellular matrix in connective tissue?,Cells and ﬁ bres,Serous and mucus membranes and lamina propria,Protein ﬁ bres and ground substance,Interstitial ﬂ uid,C
Which statement about the plasma membrane is INCORRECT ?,It is selectively permeable.,It is composed of two layers of glycoprotein molecules.,It contains receptors for speciﬁ c signalling molecules. 2 Cells and Tissues 11,The plasma membranes of adjacent cells are held together by desmosomes.,B
Which of the following is NOT epithelial tissue?,the epidermis,glandular tissue,the internal lining of blood vessels,the dermis,D
Which of the following is NOT a cell found in connective tissue?,adipocytes,chondroblasts,keratinocytes,osteoblasts,C
What tissue has cells that are closely packed and that have one surface attached to a basement membrane and the other free to a space?,epithelial tissue,muscle tissue,connective tissue,nervous tissue,A
What is the name of the mechanism that ensures that there is a higher concen- tration of sodium ions in the extracellular ﬂ uid than in the intracellular ﬂ uid?,Facilitated diffusion,The sodium-potassium pump,Secondary active transport,Osmosis,B
"What are lysosomes, centrosomes and ribosomes example of?",stem cells,organelles within a cell,sensory receptors in the dermis,exocrine glands,B
What does simple columnar epithelial tissue refer to? Tissue with,a single layer of cells longer than they are wide.,"a single layer of cells whose length, breadth and depth are about the same size.","several layers of cells, all of the same type.",several layers of cells but without a basement membrane.,A
Which of the following is NOT an example of connective tissue?,blood,bone,tendon,epidermis,D
What is the function of phospholipids in the plasma membrane?,to maintain the intracellular ﬂ uid at a similar composition to that of the interstitial ﬂ uid.,to form channels to selectively allow passage of small molecules.,to act as receptors for signalling chemicals.,to present a barrier to the passage of water-soluble molecules.,D
Which one of the following cell types is found in epithelial tissue?,plasma cells,leucocytes,keratinocytes,chondroblasts,C
Which of the following is NOT part of the plasma membrane of a cell?,integral proteins,glycoproteins,plasma proteins,peripheral proteins,C
A major role for mitochondria is to,transcribe the information in DNA (deoxyribonucleic acid),produce ATP (adenosine triphosphate),synthesise proteins from amino acids,use enzymes to lyse molecules,B
Choose the tissue below that is one of the four primary types of body tissue.,epidermal tissue,epithelial tissue,interstitial tissue,osseous tissue,B
What are the primary types of tissue in the body?,"Muscle, nervous, connective and epithelial","Muscle, nervous, connective, osseous and epithelial","Muscle, nervous, connective, osseous, blood and epithelial","Muscle, nervous, connective, glandular and epithelial",A
What is the name of the membrane that surrounds the lungs?,visceral peritoneum,parietal peritoneum,visceral pleura,dura mater,C
What is a role performed by mitochondria?,contain enzymes capable of digesting molecules,produce ATP,synthesise proteins,"synthesise fatty acids, phospholipids & cholesterol",B
Which of the following is NOT found in the plasma membrane?,proteins,cholesterol,endoplasmic reticulum,phospholipids,C
Which one of the following cell types is found in epithelial tissue?,mast cells,adipocytes,chondroblasts,keratinocytes,D
