question,optionA,optionB,optionC,optionD,answer
Say that someone’s body temperature is measured by four different devices and the resulting four measurements are given below. Which reading has an abso- lute error of ± 0.05 °C?,38 °C,37.8 °C,37.85 °C,37.855 °C,B
What can be correctly said of data that are “normally distributed”?,The upper and lower values of the distribution describe the healthy range of physiological values.,The standard deviation characterises the dispersion of data and the variance characterises the central tendency of the data.,The mean and range are statistics that are strictly only applicable to nor- mally distributed data.,Sixty eight percent of all data values will be within one standard deviation from the mean.,D
"If someone’s height is measured while the person is wearing shoes, the height will be overestimated. This type of error is known as which of the following?",Absolute error,Parallax error,Calibration error,Zeroing error,D
What is the standard deviation used for?,as a measure of central tendency,as a measure of dispersion,as a measure of spread of data that are normally distributed,as a measure of the error of the mean value,C
A bathroom scales displays a mass reading of 68.4 kg. Which one of the follow- ing could NOT be the true mass of the person standing on the scales?,68.40 kg,68.44 kg,"68.47 kg 3 Measurement, Errors and Data 37",68.37 kg,C
Look again at the ﬁ gure of a thermometer. What is the absolute error of the tem- perature reading?,± 0.05 °C,"± 0.5 °C 3 Measurement, Errors and Data 38",± 1.0 °C,± 5.0 °C,B
What information does the “standard deviation” of a mean value tell us?,It gives us the healthy range of values for the measured physiological quantity.,It is the range within which 68 % of measured values are found.,It tells us that the measured values are normally distributed.,It tells us the number of values that were used to calculate the mean.,B
"What does the standard deviation of the mean represent? For values that are normally distributed, it represents:",the value above and below the mean that includes 68 % of all data values,the difference between the highest data value and the lowest data value,the average of the difference between each data value and the mean value.,the spread of the normal distribution.,A
Which of the following statements applies to the statistic known as the “stan- dard deviation”?,It is a measure of central tendency.,It is only applicable to qualitative measurements.,Standard deviation is also known as the “variance”.,95 % of all data lie within two standard deviations of the mean.,D
Which of the following units is NOT part of the Australian metric system of units?,mmHg for measuring blood pressure,degree Celsius for measuring temperature,Pascal for measuring pressure,second for measuring time,A
"In the Australian Metric System of units, what does the preﬁ x micro stand for?",one thousand,one thousandth,one million,one millionth,D
Which of the following measurements is a semi-quantitative one?,a blood pressure of 120/80 mmHg,a blood glucose level of + + +,a state of anxiety measure of “calm”,the patient’s name is Tim Cruise,B
A baby’s mass measurement is 3.8 kg ± 0.05 kg. What is the absolute error in the measurement?,± 0.05 ÷ 3.8,± (0.05 ÷ 3.8) × 100 %,± 0.05 kg,0.05 kg,C
1 ml of water has a mass of 1.00 g. Which of the following sets of 3 measure- ments of the mass of 1 ml of water is the most precise set?,"0.98 g, 1.00 g, 1.02 g","0.99 g, 0.99 g, 0.99 g","1.00 g, 1.01 g, 1.02 g","0.99 g, 0.99 g, 1.00 g",B
Systematic errors arise from some inadequacy of equipment or technique. Which of the following is NOT an example of systematic error?,parallax error,calibration error,random error,zeroing error,C
The median is a measure of central tendency. It may be deﬁ ned as:,the value that has half the values greater than it and half less than it,the value that occurs most often,"the distribution of values that has the mode, mean and average equal to each other",the sum of all values divided by the number of values.,A
Which of the following statements involves a nominal measurement?,James has a height of 170 cm.,Barry’s blood pressure is elevated.,Gino was born in Italy.,More than 5 % of Australians receive a pension.,C
In the Australian Metric System of measurement what does the preﬁ x “milli” stand for?,one thousandth,one thousand,one millionth,one million,A
The millimetre of mercury is a unit commonly used for the measurement of blood pressure. Which of the following statements about this unit is true?,It is part of the Australian Metric System but not part of the SI system.,It is part of the SI system but not part of the Australian Metric System.,It belongs to both the SI system and the Australian Metric System.,It does not belong to either the SI system or the Australian Metric System.,D
