question,optionA,optionB,optionC,optionD,answer
Which statement below is correct?,dendrites are produced by dendrocytes,glycolipids are produced by lipocytes,keratin is produced by keratinocytes,melanin is produced by merkel cells,C
Where are sebaceous glands found?,In the digestive system,In the hypodermis,In the dermis,In the stratum corneum,C
"When a medicine is delivered via a patch attached to the skin, it is said to be delivered:",transdermally,subcutaneously,topically,intramuscularly,A
Full thickness burns to more than 20 % of the skin surface is a life-threatening situation. Why is this?,The synthesis of vitamin D (calcitriol) is severely compromised.,The loss of skin sensation prevents access to environmental information.,The body is not able to prevent water loss from the burnt area.,Soft internal tissues are abraded by the external environment.,C
Which is a notable feature of the stratum corneum layer of the integument? It:,is where melanocytes and keratinocytes are rapidly dividing.,is richly supplied with blood capillaries.,consists of keratin ﬁ lled cells with glycolipid in between cells.,has protruding epidermal ridges that push the overlying epidermis into “ﬁ ngerprints”.,C
"When a pharmaceutical is administered hypodermically, it is",wiped onto the skin.,applied via a patch that adheres to the skin.,injected into the dermis. 5 Integument 107,injected into subcutaneous fat.,D
Which of the following is NOT a sensory receptor of the skin?,a Meissner corpuscle,an apocrine gland,a root hair plexus,a nociceptor,B
What is the name given to the most superﬁ cial layer of the integument?,stratum corneum,papillary dermal layer,stratum lucidum,superﬁ cial fascia,A
Which of the following statements is INCORRECT ?,sudiferous glands secrete sebum,sebaceous glands secrete oil,apocrine glands secrete sweat,ceruminous glands secrete cerumen,A
To what in the skin does the term “nociceptors” refer?,sensors that detect movement of hair follicles,any lamellated sensory corpuscle,the sensory receptor that is associated with the Merkel cells of the epidermis,free nerve endings with large receptive ﬁ elds that detect pain,D
Choose the incorrect statement below.,Keratinocytes produce keratin,Merkel cells are associated with a sensory nerve ending.,Melanocytes produce melanin,Dendrocytes produce dendrocidin.,D
Which layer of the integument contains rapidly dividing keratinocytes?,stratum lucidum,papillary dermal layer,stratum germinativum,reticular dermal layer,C
Which of the following situations could produce life threatening ﬂ uid loss and infection?,Stomach ulcers,Full thickness skin burn,Severe muscle tear,Displaced bone fracture,B
What do sudiferous glands do?,Secrete sebum into a hair follicle,Secrete sweat through a duct to the skin,Secrete sweat through a duct to the skin or into a hair follicle,Secrete cerumen through a duct to the skin or into a hair follicle,C
Which layer of the integument is the most superﬁ cial layer?,the hypodermis,stratum granulosum,stratum corneum,reticular dermal layer,C
A drug that is applied to the skin and exerts its therapeutic effect systemically is said to be administered:,transdermally,topically,intradermally,subcutaneously,A
"Which is the most superﬁ cial layer of the integument that also has capillaries, lymphatics and sensory neurons?",reticular dermal layer,papillary dermal layer,stratum granulosum,stratum lucidum,B
Which skin layer is the most superﬁ cial?,stratum lucidum,stratum corneum,papillary dermal layer,reticular dermal layer,B
Which glands secrete “oil” into a hair follicle?,apocrine,eccrine,ceruminous,sebaceous,D
The integument consists of which of the following layers?,epidermis and dermis,"epidermis, dermis and hypodermis","stratum germinativum, stratum spinosum, stratum granulosum, stratum lucidum and stratum corneum","stratum corneum, dermis and reticular dermal layer",A
One of the following is NOT a type of sweat gland. Which one?,eccrine gland,merocrine gland,endocrine gland,apocrine gland,C
Three functions of the skin are to:,"store fat, produce sweat, receive stimuli.","synthesise vitamin D, excrete bile, and provide a barrier to the entry of bacteria.","produce keratin, assist in the immune response, and produce lymphocytes.","produce melanin, secrete sebum, minimise water loss.",D
Which layer of the skin is the most superﬁ cial?,epidermis,dermis,papillary dermal layer,stratum germinativum,A
What do the apocrine glands of the skin secrete?,apocrin,cerumin,milk,sweat,D
Another name for oil glands in the skin is:,sebaceous glands,eccrine glands,merocrine glands,apocrine glands,A
What are three functions of the skin? To:,"store fat, produce sebum, trap a layer of air beneath hair to insulate against heat loss.","synthesise vitamin D, excrete bile, protect against abrasion.","produce melanin, regulate body temperature, minimise water loss.","produce keratin, assist in the immune response, produce dendrocytes.",C
"Which of the following lists layers of the integument in the order from most superﬁ cial ﬁ rst, to deep?","epidermis, hypodermis, dermis","epidermis, papillary dermal layer, reticular dermal layer.","dermis, stratum germinativum, stratum corneum","stratum corneum, stratum germinativum, epidermis.",B
What is another name for sweat glands?,ceruminous glands,sebaceous glands,sudiferous glands,apocrine glands,C
Which statement about vitamin D is INCORRECT ?,It is required for uptake of calcium from the gut,"It is made in the skin, liver and kidneys.",It is an essential part of our diet.,It is a hormone,C
"If a drug is administered “transdermally”, which of the following applies?",it is absorbed through the skin and acts locally.,it is injected into the dermis,it is absorbed through the skin and acts systemically.,it is injected into the subcutaneous fat layer,C
A drug that is administered “transdermally” is one that:,acts at (or close to) the skin area to which it is administered.,is injected into the muscle,is applied to the epidermis,is inserted into the anus,C
Sudiferous glands are also known as:,eccrine or apocrine glands.,sebaceous or oil glands.,ceruminous or apocrine glands.,mammary or eccrine glands.,A
Which is the outermost layer of the skin?,dermis,epidermis,stratum lucidum,reticular dermal layer,B
Which list below contains functions that are NOT performed by the integumen- tary system?,"protection, secretion of sebum, role in immunity.","body temperature regulation, excretion, synthesis of vitamin D.","perception of stimuli, production of sweat, protection","C. perception of stimuli, production of sweat, protection D. body temperature regulation, synthesis of vitamin E, social function.",D
Which list of structures is NOT all part of the integumentary system?,"sebaceous glands, hair, nails, mammary glands.","meissner’s corpuscles, hypodermis, eccrine sweat glands, oil glands.","apocrine sweat glands, sebaceous glands, merkel disc, hair follicles","melanocytes, keratinocytes, merkel cells, dendrocytes.",B
Which of the following is NOT a function of the skin?,fat storage,waterprooﬁ ng the body,production of vitamin D,immunity,A
Which stratum of the epidermis protects the body against water loss and abrasion?,stratum germinativum,stratum basale,stratum lucidum,stratum corneum,D
On which part of the integument is most of the body’s normal ﬂ ora located?,dermis,epidermis,microdermis,hypodermis,B
Which is the deepest layer of the integument?,the epidermis,the dermis,the stratum corneum,the papillary dermal layer,B
One of the following is NOT a gland found in the integument. Which one?,sudiferous gland,mammary gland,pineal gland,sebaceous gland,C
All but one of the following are sensory receptors in the skin. Which one is NOT?,Reticular dermal layer,Merkel discs,Nociceptors,Pacinian corpuscles,A
What is the secretion produced by sudiferous glands?,sweat,sebum,cerumin,merocrin,A
Which of the following would be a negative feedback response by the body to hyperthermia?,Shivering,Sweating,Vasoconstriction of blood vessels in the dermis,An increase in metabolic rate,B
What do neurones in the pre-central gyrus do?,they receive information from general sense receptors in muscle and skin,"they communicate with motor, sensory and multi-modal association areas",they allow conscious control of skilled voluntary muscle movements,they process and relay auditory and visual input,C
What is one effect that the sympathetic division of the autonomic nervous sys- tem have?,increases gut motility and digestive secretions,causes bronchioles to constrict,decreases heart rate,stimulates sweating from sweat glands,D
What is the purpose of the diaphragm on the bell of a stethoscope? To:,prevent external sounds from interfering with auscultation.,eliminate any air gap between the skin and stethoscope.,resonate with the sound being listened to.,transmit the body sounds to the earpieces.,C
Which of the following types of electromagnetic radiation is most likely to be responsible for the incidence of skin cancers?,infrared,ultraviolet-A (UV A),ultraviolet-B (UVB),ultraviolet-C (UVC),C
