question,optionA,optionB,optionC,optionD,answer
Which of the following is NOT a bone of the axial skeleton?,deltoid,ethmoid 126,sphenoid,hyoid,A
In which of the following bone structures do osteocytes live?,osteons,canaliculi,lacunae,lamellae,C
What is a “trochanter”?,part of a femur,a feature of the pelvis,a projection that forms part of an articulation,a groove in which lies a tendon,A
Where do osteocytes reside?,In lamellae,In endosteum,In trabeculae,In lacunae,D
Which of the following is NOT a “long” bone?,the humerus,the tibia,a carpal,a metacarpal,C
Which one of the following is a bone that is embedded within a tendon?,sphenoid,hyoid,ethmoid,sesamoid,D
In which one of the following structures do osteocytes reside? In the,haversian canals,lacunae,trabeculae,endosteum,B
Which bone of the head has a synovial joint?,The sphenoid,The maxilla,The mandible,The hyoid,C
Which term below refers to a depression in a bone?,tuberosity,fossa,tubercle,condyle,B
Where are blood vessels in compact bone found?,in the canaliculi,in the periosteum,in the lacunae,in the central canal,D
One of the following lists contains only bones in the appendicular skeleton. Which one?,"patella, ethmoid, femur, coccyx, tibia","clavicle, ﬁ bula, metatarsal, phalange, radius","humerus, scapula, occipital, metacarpal, sternum","ulna, radius, phalange, mandible, coxal",B
"A synovial joint is also known as one of the following, which one?",synarthrosis,immovable joint,slightly moveable joint,freely moveable joint,D
What is contained within the medullary canal of a long bone?,trabeculae,lamellae,marrow,osteoblasts and osteoclasts,C
Where is the epiphyseal plate of a long bone located?,in the diaphysis,between the diaphysis and the epiphysis,in the epiphysis,in the medullary canal,B
In which structure are osteoclasts and osteoblasts found?,in the periosteum,in the haversian canals,in the lacunae of osteons,in the trabeculae of osteons,A
Which of the following is a NOT a projection from a bone surface?,trochanter,tubercle,trabeculum,tuberosity,C
Choose the correct sentence. Compact bone contains,lamellae and osteocytes but no osteons.,"trabeculae, canaliculi and osteons.",haversian systems and canaliculi but no osteons.,osteons and lamellae but no trabeculae.,D
Which of the following bone markings is NOT a projection for muscle attachment?,fossa,tuberosity,tubercle,trochanter,A
Choose the correct sentence. Cancellous bone contains,lamellae and osteocytes but no trabeculae.,"trabeculae, canaliculi and osteons.",haversian systems and canaliculi but no osteons.,trabeculae and lamellae but no osteons.,D
What is the name given to the central tunnel of an osteon that contains blood vessels?,canaliculus,endosteum,haversian canal,medullary canal,C
The manubrium and the xiphoid process are located on which part of the skeleton?,the lower jaw,the sternum,the pelvis,the hand,B
Carpals refers to,the points of attachment of ribs to vertebrae,bones of the wrist,bones that are embedded within a tendon,the thumbs,B
On which bone is the greater trochanter found?,pelvic,femur,radius,humerus,B
What does “articulation” refer to?,the joining of a ligament to a bone.,the contact made between a tendon and a bone 7 Skeleton and Joints 135,the contact between two bones.,the connection between a muscle and a bone,C
What are the cells that are found in the lacunae of compact bone called?,osteocytes.,osteons.,osteoblasts.,osteoclasts.,A
What does the term “haversian canal” refer to in bone?,the larger examples of foramina.,a groove that receives a muscle’s tendon.,the centre of an osteon that contains blood capillaries.,the space within a long bone that contains marrow.,C
