chapter,section,confidence
Chapter 3 - The Cell,Section not found,1.000
Chapter 10 - Lymphatic System,Section not found,0.834
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.987
Chapter 16 - Endocrine System,Section not found,0.978
Chapter 16 - Endocrine System,Section not found,0.949
Chapter 3 - The Cell,Section not found,0.977
Chapter 16 - Endocrine System,Section not found,0.961
Chapter 16 - Endocrine System,Section not found,0.993
Chapter 3 - The Cell,Section not found,0.990
Chapter 16 - Endocrine System,Section not found,0.937
Chapter 3 - The Cell,Section not found,0.989
Chapter 16 - Endocrine System,Section not found,0.937
Chapter 1 - Chemicals,Section not found,0.976
Chapter 2 - Classification,2.6 The Classification of Vertebrates (Heads-up),0.995
Chapter 3 - The Cell,Section not found,0.878
Chapter 2 - Classification,2.5 The Animal Kingdom (Heads-up),0.925
Chapter 1 - Chemicals,Section not found,0.950
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.967
Chapter 3 - The Cell,Section not found,0.834
Chapter 3 - The Cell,Section not found,0.958
Chapter 16 - Endocrine System,Section not found,0.965
Chapter 16 - Endocrine System,Section not found,0.996
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.990
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.992
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,Section not found,0.904
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.996
Chapter 3 - The Cell,3.7 The Cell as a Factory,0.998
Chapter 3 - The Cell,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.996
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,Section not found,0.995
Chapter 3 - The Cell,Section not found,0.968
Chapter 3 - The Cell,Section not found,0.965
Chapter 1 - Chemicals,1.8 Fats (Heads-up),0.988
Chapter 3 - The Cell,Section not found,0.989
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.878
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.999
Chapter 3 - The Cell,3.7 The Cell as a Factory,1.000
Chapter 3 - The Cell,Section not found,1.000
Chapter 3 - The Cell,Section not found,0.979
Chapter 3 - The Cell,Section not found,0.801
Chapter 3 - The Cell,Section not found,0.965
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.962
Chapter 3 - The Cell,Section not found,0.979
Chapter 1 - Chemicals,Section not found,0.997
Chapter 3 - The Cell,Section not found,0.999
Chapter 3 - The Cell,Section not found,0.962
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 3 - The Cell,Section not found,0.962
Chapter 3 - The Cell,Section not found,0.978
Chapter 3 - The Cell,Mitochondria,0.977
Chapter 3 - The Cell,3.3 The Plasma Membrane,1.000
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.986
Chapter 3 - The Cell,Section not found,0.988
Chapter 1 - Chemicals,1.2 Elements and Atoms (Heads-up),0.998
Chapter 3 - The Cell,Section not found,0.923
Chapter 3 - The Cell,3.3.1 Diffusion,0.989
Chapter 3 - The Cell,Section not found,0.895
Chapter 10 - Lymphatic System,Section not found,0.716
Chapter 3 - The Cell,3.3 The Plasma Membrane,0.999
