question,optionA,optionB,optionC,optionD,answer
Which of the following are NOT proteins?,glycolipids,enzymes,haemoglobin,albumin,A
"In the haemostasis process, what forms as a result of the extrinsic and intrinsic pathways?",fibrin,thrombin,a platelet plug,prothrombinase,D
What is found in blood serum that is also in blood plasma?,blood cells,platelets,plasma proteins,clotting factors,C
What is the SECOND step in the three phases of haemostasis listed below?,The vascular phase,The intrinsic pathway,The extrinsic pathway,The platelet phase,D
What is the first process that occurs after a blood vessel is damaged?,coagulation,platelet plug formation,vasoconstriction,haemolysis,C
Which blood cells are involved in protecting the body from pathogens and for - eign cells?,erythrocytes,leucocytes,platelets,haemoglobin,B
"In the process of haemostasis, which phase involves the intrinsic and extrinsic pathways?",the platelet phase,the clot lysis phase,the vascular phase,the coagulation phase,D
A person’s blood group is determined by:,the agglutinogens circulating in their plasma,the antigens on the surface of their red blood cells,the antibodies on the surface of their red blood cells,the agglutinins circulating in their plasma,B
"If a blood sample is taken for DNA testing, which of the following would be examined?",leucocytes,erythrocytes,thrombocytes,plasma proteins,A
The term “formed elements” used in relation to the blood include which of the following?,fibrinogen.,white blood cells.,electrolytes.,plasma proteins.,B
What constitutes blood plasma?,whole blood without the formed elements.,blood without the red blood cells.,whole blood without blood cells and clotting factors.,blood minus blood cells and proteins.,A
Which of the following statements about a person with blood group “A” is true? They have the:,A antigen on their red blood cells.,anti-A antibodies in their plasma.,anti-A agglutinogen on their red blood cells.,A antibody on their red blood cells.,A
Which of the following statements concerning intracellular and extracellular fluids is FALSE?,The concentration of sodium is higher in extracellular fluid than in intracel- lular fluid.,The concentration of potassium is lower in extracellular fluid than in intra-cellular fluid.,Blood plasma is an example of intracellular fluid.,The volume of intracellular fluid is greater than that of extracellular fluid.,C
Finish the sentence correctly. Plasma proteins:,help maintain blood volume due to colloid osmotic pressure.,are regarded as formed elements of the blood.12.1 Blood 248,are low molecular weight proteins.,are part of the blood serum.,A
What causes the blood’s osmotic pressure to be greater than the osmotic pres- sure of the surrounding interstitial fluid that is outside of the capillaries?,there is a higher concentration of sodium and chloride ions in the blood than the interstitial fluid.,there is a higher concentration of water in the blood than in the interstitial fluid.,the plasma proteins in blood.,the hydrostatic pressure produced by the heart’s contractions.,C
Blood flow through the heart follows which of the sequences listed below?,"from left atrium, then mitral valve, right ventricle, aorta, left ventricle","from right atrium, then mitral valve, right ventricle, pulmonary trunk, left ventricle.","from pulmonary trunk, then tricuspid valve, left atrium, aortic valve, aorta","from vena cava, then right ventricle, pulmonary trunk, left ventricle, aorta.",D
What is the name of the valve between the left atrium and the left ventricle?,mitral valve,tricuspid valve,semi-lunar valve,aortic valve,A
What is meant by a diastolic blood pressure of 100 mm Hg?,the maximum pressure at the start of the aorta during ventricular contraction.,the minimum pressure at the start of the aorta before the start of a ventricu-lar contraction.,the maximum pressure at the start of the aorta and pulmonary trunk during ventricular contraction.,The minimum blood pressure measured when resting.,B
What is the main function of mitral valve?,to increase the pressure inside the left atrium during systole,to prevent a drop in pressure in the aorta during diastole,to prevent backflow from left ventricle to left atrium during systole,to add additional blood from left atrium to left ventricle during atrial systole,C
The Frank-Starling law of the heart describes the proportional relationship between which of the following pairs?,Stroke volume and cardiac output,Stroke volume and end-diastolic volume,The blood volume in the ventricles and stroke volume,Systemic vascular resistance and stroke volume,C
"If Sarah has a stroke volume of 70 ml and a cardiac output of 5950 ml/min, which of the following is her heart rate (in beats/min)?",70,7512.2 Heart 252,80,85,D
Which period of the heart cycle is completely occupied by the ventricles relaxing?,atrial systole,atrial diastole,ventricular systole,ventricular diastole,D
Through which valve does blood flow when it moves from the right atrium into the right ventricle?,the tricuspid valve,the mitral valve 12 Cardiovascular System 253,the pulmonary valve,the bicuspid valve,A
"A drug, such as cocaine, which stimulates the heart but does directly inhibit the heart’s ability to relax, would be considered a:",Sympatholytic,Sympathomimetic,Parasympatholytic,Parasympathomimetic,B
Through which valve does blood flow when it moves from the left atrium into the left ventricle?,the semilunar valve,the mitral valve,the tricuspid valve12.2 Heart 254,the bicuspid valve,B
Which period of the heart cycle is completely occupied by the ventricles contracting?,atrial systole,atrial diastole,ventricular systole,ventricular diastole,C
Which statement below describes blood flow through the mitral valve?,blood flows from the right atrium into the right ventricle,blood flows from the right ventricle into the pulmonary artery,blood flows from the left ventricle into the aorta,blood flows from the left atrium into the left ventricle,D
Which tissue is supplied with blood via the coronary arteries?,the lungs,the myocardium,the corona,the aorta,B
What is the innermost layer of the heart wall known as?,epicardium,pericardium,visceral pericardium,endocardium,D
