question,optionA,optionB,optionC,optionD,answer
Look at the ﬁ gure of a thermometer. What is the temperature reading?,15 °C,15.4 °C,17 °C,20 °C,C
"On a clinical thermometer where the smallest scale interval is 0.1 °C, a person’s temperature is measured to be 37.7 °C. Which of the listed temperatures could NOT be the person’s true temperature?",37.72 °C,37.76 °C,37.67 °C,37.685 °C,B
"Cells use glucose as an energy source, but store it as glycogen. When needed the glycogen is broken down by a process called:",glycolysis,glycogenesis,gluconeogenesis,glycogenolysis,D
Proteins perform a wide range of functions in the body including which one of the following?,They are our major source of energy,They act as enzymes,They are used to make sex hormones,"They are necessary for the absorption of vitamins A, D, E and K",B
What is a function of carbohydrates in the body?,to act as enzymes,to provide energy,function as local hormones,to provide the building blocks for proteins,B
Which statement describing the chemical reactivity of organic molecules is FALSE?,Reactivity depends on the nature of the functional group.,Reactivity is independent of the number and nature of the carbon rings,Reactivity is dependent on the nature and size of the radical group.,Reactivity in the body may depend on the internal body factors such as temperature and pH.,B
"According to Boyle’s law, what will happen in a fixed amount of gas if its vol- ume decreases?",the pressure of the gas will decrease,the pressure of the gas will increase,the temperature of the gas will decrease,the temperature of the gas will increase,B
"Consider Boyle’s law. If the pressure being exerted on an enclosed volume of gas (at a constant temperature) is increased by 20 %, by what percentage would its volume change?",volume would increase by 20 %,volume would increase by 44 %,volume would decrease by 44 %,volume would decrease by 20 %,D
"Boyle’s law states: ‘when the volume (V) of a fixed amount of gas decreases, its pressure (P) will increase, and vice versa (provided that the temperature (T) doesn’t change)’. In symbols, this law is:",P ∝ V,P ∝ T,P ∝ 1 ÷ V,P ∝ V × T,C
The kinetic molecular theory of gases provides us with some valuable insights into the behaviour of gases. One correct prediction of the theory is: That gas pressure is:,due to the force exerted by gas molecules as they collide with the walls of their container.,due to the forces of attraction between gas particles.,inversely proportional to the gas temperature.,proportional to the partial pressures of the different gases that make up the gas.,A
"Boyle’s law may be stated: Provided that the temperature does not change, the volume of a ﬁ xed amount of gas decreases as its pressure increases (and vice versa). Which statement concerning the pressure of the air in the lungs is con-sistent with Boyle’s law?",It will decrease as the chest expands.,It decreases as we breathe out.,It increases when we contract our diaphragm.,It decreases as our intercostal muscles relax.,A
